households_served,total,population,start_date,end_date,question,household_type,count
For PSH and RRH - the total persons served who moved into housing,66,all_households,2015-04-01,2015-04-30,Q8a,unknown_household_type,0
Total Households,288,all_households,2015-05-01,2015-05-31,Q8a,without_children,230
Total Households,288,all_households,2015-05-01,2015-05-31,Q8a,with_children_and_adults,58
Total Households,288,all_households,2015-05-01,2015-05-31,Q8a,with_only_children,0
Total Households,288,all_households,2015-05-01,2015-05-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-05-01,2015-05-31,Q8a,without_children,64
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-05-01,2015-05-31,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-05-01,2015-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-05-01,2015-05-31,Q8a,unknown_household_type,0
Total Households,304,all_households,2015-06-01,2015-06-30,Q8a,without_children,233
Total Households,304,all_households,2015-06-01,2015-06-30,Q8a,with_children_and_adults,71
Total Households,304,all_households,2015-06-01,2015-06-30,Q8a,with_only_children,0
Total Households,304,all_households,2015-06-01,2015-06-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,79,all_households,2015-06-01,2015-06-30,Q8a,without_children,65
For PSH and RRH - the total persons served who moved into housing,79,all_households,2015-06-01,2015-06-30,Q8a,with_children_and_adults,14
For PSH and RRH - the total persons served who moved into housing,79,all_households,2015-06-01,2015-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,79,all_households,2015-06-01,2015-06-30,Q8a,unknown_household_type,0
Total Households,307,all_households,2015-07-01,2015-07-31,Q8a,without_children,231
Total Households,307,all_households,2015-07-01,2015-07-31,Q8a,with_children_and_adults,76
Total Households,307,all_households,2015-07-01,2015-07-31,Q8a,with_only_children,0
Total Households,307,all_households,2015-07-01,2015-07-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,70,all_households,2015-07-01,2015-07-31,Q8a,without_children,53
For PSH and RRH - the total persons served who moved into housing,70,all_households,2015-07-01,2015-07-31,Q8a,with_children_and_adults,17
For PSH and RRH - the total persons served who moved into housing,70,all_households,2015-07-01,2015-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,70,all_households,2015-07-01,2015-07-31,Q8a,unknown_household_type,0
Total Households,291,all_households,2015-08-01,2015-08-31,Q8a,without_children,215
Total Households,291,all_households,2015-08-01,2015-08-31,Q8a,with_children_and_adults,76
Total Households,291,all_households,2015-08-01,2015-08-31,Q8a,with_only_children,0
Total Households,291,all_households,2015-08-01,2015-08-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-08-01,2015-08-31,Q8a,without_children,51
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-08-01,2015-08-31,Q8a,with_children_and_adults,25
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-08-01,2015-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,76,all_households,2015-08-01,2015-08-31,Q8a,unknown_household_type,0
Total Households,318,all_households,2015-09-01,2015-09-30,Q8a,without_children,218
Total Households,318,all_households,2015-09-01,2015-09-30,Q8a,with_children_and_adults,100
Total Households,318,all_households,2015-09-01,2015-09-30,Q8a,with_only_children,0
Total Households,318,all_households,2015-09-01,2015-09-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-09-01,2015-09-30,Q8a,without_children,47
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-09-01,2015-09-30,Q8a,with_children_and_adults,26
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-09-01,2015-09-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-09-01,2015-09-30,Q8a,unknown_household_type,0
Total Households,340,all_households,2015-10-01,2015-10-31,Q8a,without_children,234
Total Households,340,all_households,2015-10-01,2015-10-31,Q8a,with_children_and_adults,106
Total Households,340,all_households,2015-10-01,2015-10-31,Q8a,with_only_children,0
Total Households,340,all_households,2015-10-01,2015-10-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,80,all_households,2015-10-01,2015-10-31,Q8a,without_children,52
For PSH and RRH - the total persons served who moved into housing,80,all_households,2015-10-01,2015-10-31,Q8a,with_children_and_adults,28
For PSH and RRH - the total persons served who moved into housing,80,all_households,2015-10-01,2015-10-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,80,all_households,2015-10-01,2015-10-31,Q8a,unknown_household_type,0
Total Households,370,all_households,2015-11-01,2015-11-30,Q8a,without_children,283
Total Households,370,all_households,2015-11-01,2015-11-30,Q8a,with_children_and_adults,87
Total Households,370,all_households,2015-11-01,2015-11-30,Q8a,with_only_children,0
Total Households,370,all_households,2015-11-01,2015-11-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-11-01,2015-11-30,Q8a,without_children,51
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-11-01,2015-11-30,Q8a,with_children_and_adults,22
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-11-01,2015-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,73,all_households,2015-11-01,2015-11-30,Q8a,unknown_household_type,0
Total Households,359,all_households,2015-12-01,2015-12-31,Q8a,without_children,275
Total Households,359,all_households,2015-12-01,2015-12-31,Q8a,with_children_and_adults,84
Total Households,359,all_households,2015-12-01,2015-12-31,Q8a,with_only_children,0
Total Households,359,all_households,2015-12-01,2015-12-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,72,all_households,2015-12-01,2015-12-31,Q8a,without_children,50
For PSH and RRH - the total persons served who moved into housing,72,all_households,2015-12-01,2015-12-31,Q8a,with_children_and_adults,22
For PSH and RRH - the total persons served who moved into housing,72,all_households,2015-12-01,2015-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,72,all_households,2015-12-01,2015-12-31,Q8a,unknown_household_type,0
Total Households,370,all_households,2016-01-01,2016-01-31,Q8a,without_children,293
Total Households,370,all_households,2016-01-01,2016-01-31,Q8a,with_children_and_adults,77
Total Households,370,all_households,2016-01-01,2016-01-31,Q8a,with_only_children,0
Total Households,370,all_households,2016-01-01,2016-01-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,73,all_households,2016-01-01,2016-01-31,Q8a,without_children,56
For PSH and RRH - the total persons served who moved into housing,73,all_households,2016-01-01,2016-01-31,Q8a,with_children_and_adults,17
For PSH and RRH - the total persons served who moved into housing,73,all_households,2016-01-01,2016-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,73,all_households,2016-01-01,2016-01-31,Q8a,unknown_household_type,0
Total Households,366,all_households,2016-02-01,2016-02-29,Q8a,without_children,299
Total Households,366,all_households,2016-02-01,2016-02-29,Q8a,with_children_and_adults,66
Total Households,366,all_households,2016-02-01,2016-02-29,Q8a,with_only_children,1
Total Households,366,all_households,2016-02-01,2016-02-29,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-02-01,2016-02-29,Q8a,without_children,65
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-02-01,2016-02-29,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-02-01,2016-02-29,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-02-01,2016-02-29,Q8a,unknown_household_type,0
Total Households,372,all_households,2016-03-01,2016-03-31,Q8a,without_children,307
Total Households,372,all_households,2016-03-01,2016-03-31,Q8a,with_children_and_adults,65
Total Households,372,all_households,2016-03-01,2016-03-31,Q8a,with_only_children,0
Total Households,372,all_households,2016-03-01,2016-03-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-03-01,2016-03-31,Q8a,without_children,66
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-03-01,2016-03-31,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-03-01,2016-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-03-01,2016-03-31,Q8a,unknown_household_type,0
Total Households,331,all_households,2016-04-01,2016-04-30,Q8a,without_children,261
Total Households,331,all_households,2016-04-01,2016-04-30,Q8a,with_children_and_adults,70
Total Households,331,all_households,2016-04-01,2016-04-30,Q8a,with_only_children,0
Total Households,331,all_households,2016-04-01,2016-04-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,82,all_households,2016-04-01,2016-04-30,Q8a,without_children,66
For PSH and RRH - the total persons served who moved into housing,82,all_households,2016-04-01,2016-04-30,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,82,all_households,2016-04-01,2016-04-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,82,all_households,2016-04-01,2016-04-30,Q8a,unknown_household_type,0
Total Households,312,all_households,2016-05-01,2016-05-31,Q8a,without_children,236
Total Households,312,all_households,2016-05-01,2016-05-31,Q8a,with_children_and_adults,74
Total Households,312,all_households,2016-05-01,2016-05-31,Q8a,with_only_children,1
Total Households,312,all_households,2016-05-01,2016-05-31,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,75,all_households,2016-05-01,2016-05-31,Q8a,without_children,62
For PSH and RRH - the total persons served who moved into housing,75,all_households,2016-05-01,2016-05-31,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,75,all_households,2016-05-01,2016-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,75,all_households,2016-05-01,2016-05-31,Q8a,unknown_household_type,0
Total Households,311,all_households,2016-06-01,2016-06-30,Q8a,without_children,236
Total Households,311,all_households,2016-06-01,2016-06-30,Q8a,with_children_and_adults,73
Total Households,311,all_households,2016-06-01,2016-06-30,Q8a,with_only_children,1
Total Households,311,all_households,2016-06-01,2016-06-30,Q8a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-06-01,2016-06-30,Q8a,without_children,68
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-06-01,2016-06-30,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-06-01,2016-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,81,all_households,2016-06-01,2016-06-30,Q8a,unknown_household_type,0
Total Households,325,all_households,2016-07-01,2016-07-31,Q8a,without_children,246
Total Households,325,all_households,2016-07-01,2016-07-31,Q8a,with_children_and_adults,79
Total Households,325,all_households,2016-07-01,2016-07-31,Q8a,with_only_children,0
Total Households,325,all_households,2016-07-01,2016-07-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-07-01,2016-07-31,Q8a,without_children,71
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-07-01,2016-07-31,Q8a,with_children_and_adults,7
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-07-01,2016-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,78,all_households,2016-07-01,2016-07-31,Q8a,unknown_household_type,0
Total Households,364,all_households,2016-08-01,2016-08-31,Q8a,without_children,259
Total Households,364,all_households,2016-08-01,2016-08-31,Q8a,with_children_and_adults,105
Total Households,364,all_households,2016-08-01,2016-08-31,Q8a,with_only_children,0
Total Households,364,all_households,2016-08-01,2016-08-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,91,all_households,2016-08-01,2016-08-31,Q8a,without_children,75
For PSH and RRH - the total persons served who moved into housing,91,all_households,2016-08-01,2016-08-31,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,91,all_households,2016-08-01,2016-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,91,all_households,2016-08-01,2016-08-31,Q8a,unknown_household_type,0
Total Households,369,all_households,2016-09-01,2016-09-30,Q8a,without_children,258
Total Households,369,all_households,2016-09-01,2016-09-30,Q8a,with_children_and_adults,111
Total Households,369,all_households,2016-09-01,2016-09-30,Q8a,with_only_children,0
Total Households,369,all_households,2016-09-01,2016-09-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,110,all_households,2016-09-01,2016-09-30,Q8a,without_children,86
For PSH and RRH - the total persons served who moved into housing,110,all_households,2016-09-01,2016-09-30,Q8a,with_children_and_adults,24
For PSH and RRH - the total persons served who moved into housing,110,all_households,2016-09-01,2016-09-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,110,all_households,2016-09-01,2016-09-30,Q8a,unknown_household_type,0
Total Households,354,all_households,2016-10-01,2016-10-31,Q8a,without_children,257
Total Households,354,all_households,2016-10-01,2016-10-31,Q8a,with_children_and_adults,97
Total Households,354,all_households,2016-10-01,2016-10-31,Q8a,with_only_children,0
Total Households,354,all_households,2016-10-01,2016-10-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2016-10-01,2016-10-31,Q8a,without_children,72
For PSH and RRH - the total persons served who moved into housing,95,all_households,2016-10-01,2016-10-31,Q8a,with_children_and_adults,23
For PSH and RRH - the total persons served who moved into housing,95,all_households,2016-10-01,2016-10-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2016-10-01,2016-10-31,Q8a,unknown_household_type,0
Total Households,395,all_households,2016-11-01,2016-11-30,Q8a,without_children,300
Total Households,395,all_households,2016-11-01,2016-11-30,Q8a,with_children_and_adults,95
Total Households,395,all_households,2016-11-01,2016-11-30,Q8a,with_only_children,0
Total Households,395,all_households,2016-11-01,2016-11-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,90,all_households,2016-11-01,2016-11-30,Q8a,without_children,70
For PSH and RRH - the total persons served who moved into housing,90,all_households,2016-11-01,2016-11-30,Q8a,with_children_and_adults,20
For PSH and RRH - the total persons served who moved into housing,90,all_households,2016-11-01,2016-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,90,all_households,2016-11-01,2016-11-30,Q8a,unknown_household_type,0
Total Households,404,all_households,2016-12-01,2016-12-31,Q8a,without_children,307
Total Households,404,all_households,2016-12-01,2016-12-31,Q8a,with_children_and_adults,97
Total Households,404,all_households,2016-12-01,2016-12-31,Q8a,with_only_children,0
Total Households,404,all_households,2016-12-01,2016-12-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,88,all_households,2016-12-01,2016-12-31,Q8a,without_children,68
For PSH and RRH - the total persons served who moved into housing,88,all_households,2016-12-01,2016-12-31,Q8a,with_children_and_adults,20
For PSH and RRH - the total persons served who moved into housing,88,all_households,2016-12-01,2016-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,88,all_households,2016-12-01,2016-12-31,Q8a,unknown_household_type,0
Total Households,408,all_households,2017-01-01,2017-01-31,Q8a,without_children,319
Total Households,408,all_households,2017-01-01,2017-01-31,Q8a,with_children_and_adults,89
Total Households,408,all_households,2017-01-01,2017-01-31,Q8a,with_only_children,0
Total Households,408,all_households,2017-01-01,2017-01-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2017-01-01,2017-01-31,Q8a,without_children,74
For PSH and RRH - the total persons served who moved into housing,95,all_households,2017-01-01,2017-01-31,Q8a,with_children_and_adults,21
For PSH and RRH - the total persons served who moved into housing,95,all_households,2017-01-01,2017-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2017-01-01,2017-01-31,Q8a,unknown_household_type,0
Total Households,380,all_households,2017-02-01,2017-02-28,Q8a,without_children,312
Total Households,380,all_households,2017-02-01,2017-02-28,Q8a,with_children_and_adults,67
Total Households,380,all_households,2017-02-01,2017-02-28,Q8a,with_only_children,1
Total Households,380,all_households,2017-02-01,2017-02-28,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-02-01,2017-02-28,Q8a,without_children,68
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-02-01,2017-02-28,Q8a,with_children_and_adults,15
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-02-01,2017-02-28,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,83,all_households,2017-02-01,2017-02-28,Q8a,unknown_household_type,0
Total Households,383,all_households,2017-03-01,2017-03-31,Q8a,without_children,323
Total Households,383,all_households,2017-03-01,2017-03-31,Q8a,with_children_and_adults,59
Total Households,383,all_households,2017-03-01,2017-03-31,Q8a,with_only_children,1
Total Households,383,all_households,2017-03-01,2017-03-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,76,all_households,2017-03-01,2017-03-31,Q8a,without_children,63
For PSH and RRH - the total persons served who moved into housing,76,all_households,2017-03-01,2017-03-31,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,76,all_households,2017-03-01,2017-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,76,all_households,2017-03-01,2017-03-31,Q8a,unknown_household_type,0
Total Households,348,all_households,2017-04-01,2017-04-30,Q8a,without_children,289
Total Households,348,all_households,2017-04-01,2017-04-30,Q8a,with_children_and_adults,59
Total Households,348,all_households,2017-04-01,2017-04-30,Q8a,with_only_children,0
Total Households,348,all_households,2017-04-01,2017-04-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,80,all_households,2017-04-01,2017-04-30,Q8a,without_children,68
For PSH and RRH - the total persons served who moved into housing,80,all_households,2017-04-01,2017-04-30,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,80,all_households,2017-04-01,2017-04-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,80,all_households,2017-04-01,2017-04-30,Q8a,unknown_household_type,0
Total Households,308,all_households,2017-05-01,2017-05-31,Q8a,without_children,245
Total Households,308,all_households,2017-05-01,2017-05-31,Q8a,with_children_and_adults,62
Total Households,308,all_households,2017-05-01,2017-05-31,Q8a,with_only_children,1
Total Households,308,all_households,2017-05-01,2017-05-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,86,all_households,2017-05-01,2017-05-31,Q8a,without_children,71
For PSH and RRH - the total persons served who moved into housing,86,all_households,2017-05-01,2017-05-31,Q8a,with_children_and_adults,15
For PSH and RRH - the total persons served who moved into housing,86,all_households,2017-05-01,2017-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,86,all_households,2017-05-01,2017-05-31,Q8a,unknown_household_type,0
Total Households,314,all_households,2017-06-01,2017-06-30,Q8a,without_children,240
Total Households,314,all_households,2017-06-01,2017-06-30,Q8a,with_children_and_adults,73
Total Households,314,all_households,2017-06-01,2017-06-30,Q8a,with_only_children,1
Total Households,314,all_households,2017-06-01,2017-06-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,93,all_households,2017-06-01,2017-06-30,Q8a,without_children,76
For PSH and RRH - the total persons served who moved into housing,93,all_households,2017-06-01,2017-06-30,Q8a,with_children_and_adults,17
For PSH and RRH - the total persons served who moved into housing,93,all_households,2017-06-01,2017-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,93,all_households,2017-06-01,2017-06-30,Q8a,unknown_household_type,0
Total Households,335,all_households,2017-07-01,2017-07-31,Q8a,without_children,245
Total Households,335,all_households,2017-07-01,2017-07-31,Q8a,with_children_and_adults,89
Total Households,335,all_households,2017-07-01,2017-07-31,Q8a,with_only_children,1
Total Households,335,all_households,2017-07-01,2017-07-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,97,all_households,2017-07-01,2017-07-31,Q8a,without_children,73
For PSH and RRH - the total persons served who moved into housing,97,all_households,2017-07-01,2017-07-31,Q8a,with_children_and_adults,24
For PSH and RRH - the total persons served who moved into housing,97,all_households,2017-07-01,2017-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,97,all_households,2017-07-01,2017-07-31,Q8a,unknown_household_type,0
Total Households,356,all_households,2017-08-01,2017-08-31,Q8a,without_children,264
Total Households,356,all_households,2017-08-01,2017-08-31,Q8a,with_children_and_adults,91
Total Households,356,all_households,2017-08-01,2017-08-31,Q8a,with_only_children,1
Total Households,356,all_households,2017-08-01,2017-08-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,104,all_households,2017-08-01,2017-08-31,Q8a,without_children,75
For PSH and RRH - the total persons served who moved into housing,104,all_households,2017-08-01,2017-08-31,Q8a,with_children_and_adults,29
For PSH and RRH - the total persons served who moved into housing,104,all_households,2017-08-01,2017-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,104,all_households,2017-08-01,2017-08-31,Q8a,unknown_household_type,0
Total Households,334,all_households,2017-09-01,2017-09-30,Q8a,without_children,258
Total Households,334,all_households,2017-09-01,2017-09-30,Q8a,with_children_and_adults,75
Total Households,334,all_households,2017-09-01,2017-09-30,Q8a,with_only_children,1
Total Households,334,all_households,2017-09-01,2017-09-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,88,all_households,2017-09-01,2017-09-30,Q8a,without_children,71
For PSH and RRH - the total persons served who moved into housing,88,all_households,2017-09-01,2017-09-30,Q8a,with_children_and_adults,17
For PSH and RRH - the total persons served who moved into housing,88,all_households,2017-09-01,2017-09-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,88,all_households,2017-09-01,2017-09-30,Q8a,unknown_household_type,0
Total Households,289,all_households,2017-10-01,2017-10-31,Q8a,without_children,225
Total Households,289,all_households,2017-10-01,2017-10-31,Q8a,with_children_and_adults,64
Total Households,289,all_households,2017-10-01,2017-10-31,Q8a,with_only_children,0
Total Households,289,all_households,2017-10-01,2017-10-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,90,all_households,2017-10-01,2017-10-31,Q8a,without_children,71
For PSH and RRH - the total persons served who moved into housing,90,all_households,2017-10-01,2017-10-31,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,90,all_households,2017-10-01,2017-10-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,90,all_households,2017-10-01,2017-10-31,Q8a,unknown_household_type,0
Total Households,359,all_households,2017-11-01,2017-11-30,Q8a,without_children,291
Total Households,359,all_households,2017-11-01,2017-11-30,Q8a,with_children_and_adults,67
Total Households,359,all_households,2017-11-01,2017-11-30,Q8a,with_only_children,1
Total Households,359,all_households,2017-11-01,2017-11-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,91,all_households,2017-11-01,2017-11-30,Q8a,without_children,72
For PSH and RRH - the total persons served who moved into housing,91,all_households,2017-11-01,2017-11-30,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,91,all_households,2017-11-01,2017-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,91,all_households,2017-11-01,2017-11-30,Q8a,unknown_household_type,0
Total Households,356,all_households,2017-12-01,2017-12-31,Q8a,without_children,293
Total Households,356,all_households,2017-12-01,2017-12-31,Q8a,with_children_and_adults,62
