income_change_by_income_category_universe_adult_stayers_with_income_information_at_start_and_annual_assessment,had_income_category_at_start_and_did_not_have_it_at_annual_assessment,retained_income_category_but_had_less_at_annual_assessment_than_at_start,retained_income_category_and_same_at_annual_assessment_as_at_start,retained_income_category_and_increased_at_annual_assessment,did_not_have_the_income_category_at_start_and_gained_the_income_category_at_annual_assessment,did_not_have_the_income_category_at_start_or_at_annual_assessment,total_adults_including_those_with_no_income,performance_measure_adults_who_gained_or_increased_income_from_start_to_annual_assessment,average_gain,performance_measure_percent_of_persons_who_accomplished_this_measure,population,start_date,end_date,question
Average Change in Other Income,-427,-131,0,1411,1041.67,0,0,1189.4,0,NA,all_persons,2015-12-01,2015-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,17,4,3,4,32,7,0.22,NA,all_persons,2015-12-01,2015-12-31,Q19a1
Average Change in Overall Income,-427,-131,0,1216.75,1103,0,224,1168,0,NA,all_persons,2015-12-01,2015-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,1,1,1,28,33,2,0.06,NA,all_persons,2016-01-01,2016-01-31,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-01-01,2016-01-31,Q19a1
Number of Adults with Other Income,2,1,16,2,3,9,33,5,0.15,NA,all_persons,2016-01-01,2016-01-31,Q19a1
Average Change in Other Income,-427,-131,0,1411,1041.67,0,0,1189.4,0,NA,all_persons,2016-01-01,2016-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,17,4,3,5,33,7,0.21,NA,all_persons,2016-01-01,2016-01-31,Q19a1
Average Change in Overall Income,-427,-131,0,1216.75,1103,0,217,1168,0,NA,all_persons,2016-01-01,2016-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,1,1,1,27,32,2,0.06,NA,all_persons,2016-02-01,2016-02-29,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-02-01,2016-02-29,Q19a1
Number of Adults with Other Income,2,1,15,2,3,9,32,5,0.16,NA,all_persons,2016-02-01,2016-02-29,Q19a1
Average Change in Other Income,-427,-131,0,1411,1041.67,0,0,1189.4,0,NA,all_persons,2016-02-01,2016-02-29,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,16,4,3,5,32,7,0.22,NA,all_persons,2016-02-01,2016-02-29,Q19a1
Average Change in Overall Income,-427,-131,0,1216.75,1103,0,224,1168,0,NA,all_persons,2016-02-01,2016-02-29,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,1,1,1,28,34,2,0.06,NA,all_persons,2016-03-01,2016-03-31,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-03-01,2016-03-31,Q19a1
Number of Adults with Other Income,2,1,14,2,4,10,34,6,0.18,NA,all_persons,2016-03-01,2016-03-31,Q19a1
Average Change in Other Income,-427,-131,0,1411,964.5,0,0,1113.33,0,NA,all_persons,2016-03-01,2016-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,15,4,4,5,34,8,0.24,NA,all_persons,2016-03-01,2016-03-31,Q19a1
Average Change in Overall Income,-427,-131,0,1216.75,1010.5,0,233,1113.63,0,NA,all_persons,2016-03-01,2016-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,1,1,30,35,2,0.06,NA,all_persons,2016-04-01,2016-04-30,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-04-01,2016-04-30,Q19a1
Number of Adults with Other Income,2,1,16,2,4,9,35,6,0.17,NA,all_persons,2016-04-01,2016-04-30,Q19a1
Average Change in Other Income,-427,-131,0,1411,964.5,0,0,1113.33,0,NA,all_persons,2016-04-01,2016-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,16,4,4,5,35,8,0.23,NA,all_persons,2016-04-01,2016-04-30,Q19a1
Average Change in Overall Income,-427,-131,0,1216.75,1010.5,0,226,1113.63,0,NA,all_persons,2016-04-01,2016-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,1,1,30,36,2,0.06,NA,all_persons,2016-05-01,2016-05-31,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-05-01,2016-05-31,Q19a1
Number of Adults with Other Income,2,1,13,5,4,10,36,9,0.25,NA,all_persons,2016-05-01,2016-05-31,Q19a1
Average Change in Other Income,-427,-131,0,859.8,964.5,0,0,906.33,0,NA,all_persons,2016-05-01,2016-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,13,7,4,5,36,11,0.31,NA,all_persons,2016-05-01,2016-05-31,Q19a1
Average Change in Overall Income,-427,-131,0,906.29,1010.5,0,261,944.18,0,NA,all_persons,2016-05-01,2016-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,1,1,28,34,2,0.06,NA,all_persons,2016-06-01,2016-06-30,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-06-01,2016-06-30,Q19a1
Number of Adults with Other Income,2,1,13,5,3,9,34,8,0.24,NA,all_persons,2016-06-01,2016-06-30,Q19a1
Average Change in Other Income,-427,-131,0,859.8,1041.67,0,0,928,0,NA,all_persons,2016-06-01,2016-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,13,7,3,4,34,10,0.29,NA,all_persons,2016-06-01,2016-06-30,Q19a1
Average Change in Overall Income,-427,-131,0,906.29,1103,0,254,965.3,0,NA,all_persons,2016-06-01,2016-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,1,1,27,34,2,0.06,NA,all_persons,2016-07-01,2016-07-31,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-07-01,2016-07-31,Q19a1
Number of Adults with Other Income,2,1,13,4,3,10,34,7,0.21,NA,all_persons,2016-07-01,2016-07-31,Q19a1
Average Change in Other Income,-427,-131,0,372.25,1041.67,0,0,659.14,0,NA,all_persons,2016-07-01,2016-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,13,6,3,4,34,9,0.26,NA,all_persons,2016-07-01,2016-07-31,Q19a1
Average Change in Overall Income,-427,-131,0,589,1103,0,172,760.33,0,NA,all_persons,2016-07-01,2016-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,1,1,26,32,2,0.06,NA,all_persons,2016-08-01,2016-08-31,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-08-01,2016-08-31,Q19a1
Number of Adults with Other Income,2,1,13,4,2,9,32,6,0.19,NA,all_persons,2016-08-01,2016-08-31,Q19a1
Average Change in Other Income,-427,-131,0,372.25,1212.5,0,0,652.33,0,NA,all_persons,2016-08-01,2016-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,13,6,2,4,32,8,0.25,NA,all_persons,2016-08-01,2016-08-31,Q19a1
Average Change in Overall Income,-427,-131,0,589,1304.5,0,161,767.88,0,NA,all_persons,2016-08-01,2016-08-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,1,1,25,31,2,0.06,NA,all_persons,2016-09-01,2016-09-30,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2016-09-01,2016-09-30,Q19a1
Number of Adults with Other Income,2,1,12,4,2,9,31,6,0.19,NA,all_persons,2016-09-01,2016-09-30,Q19a1
Average Change in Other Income,-427,-131,0,372.25,1212.5,0,0,652.33,0,NA,all_persons,2016-09-01,2016-09-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,12,6,2,4,31,8,0.26,NA,all_persons,2016-09-01,2016-09-30,Q19a1
Average Change in Overall Income,-427,-131,0,589,1304.5,0,166,767.88,0,NA,all_persons,2016-09-01,2016-09-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,0,1,25,28,1,0.04,NA,all_persons,2016-10-01,2016-10-31,Q19a1
Average Change in Earned Income,-721,0,0,0,917,0,0,917,0,NA,all_persons,2016-10-01,2016-10-31,Q19a1
Number of Adults with Other Income,1,1,12,5,2,5,28,7,0.25,NA,all_persons,2016-10-01,2016-10-31,Q19a1
Average Change in Other Income,-623,-131,0,444.4,1212.5,0,0,663.86,0,NA,all_persons,2016-10-01,2016-10-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,12,6,2,3,28,8,0.29,NA,all_persons,2016-10-01,2016-10-31,Q19a1
Average Change in Overall Income,-623,-131,0,372.33,1304.5,0,282,605.38,0,NA,all_persons,2016-10-01,2016-10-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,0,0,0,24,26,0,0,NA,all_persons,2016-11-01,2016-11-30,Q19a1
Average Change in Earned Income,-721,0,0,0,0,0,0,0,0,NA,all_persons,2016-11-01,2016-11-30,Q19a1
Number of Adults with Other Income,1,1,12,5,1,4,26,6,0.23,NA,all_persons,2016-11-01,2016-11-30,Q19a1
Average Change in Other Income,-623,-131,0,444.4,733,0,0,492.5,0,NA,all_persons,2016-11-01,2016-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,12,6,0,3,26,6,0.23,NA,all_persons,2016-11-01,2016-11-30,Q19a1
Average Change in Overall Income,-623,-131,0,372.33,0,0,204,372.33,0,NA,all_persons,2016-11-01,2016-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,0,0,0,24,25,0,0,NA,all_persons,2016-12-01,2016-12-31,Q19a1
Average Change in Earned Income,0,0,0,0,0,0,0,0,0,NA,all_persons,2016-12-01,2016-12-31,Q19a1
Number of Adults with Other Income,1,1,12,5,0,4,25,5,0.2,NA,all_persons,2016-12-01,2016-12-31,Q19a1
Average Change in Other Income,-623,-131,0,444.4,0,0,0,444.4,0,NA,all_persons,2016-12-01,2016-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,12,5,0,3,25,5,0.2,NA,all_persons,2016-12-01,2016-12-31,Q19a1
Average Change in Overall Income,-623,-131,0,444.4,0,0,211,444.4,0,NA,all_persons,2016-12-01,2016-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,0,0,1,22,24,1,0.04,NA,all_persons,2017-01-01,2017-01-31,Q19a1
Average Change in Earned Income,0,0,0,0,200,0,0,200,0,NA,all_persons,2017-01-01,2017-01-31,Q19a1
Number of Adults with Other Income,1,0,11,5,1,4,24,6,0.25,NA,all_persons,2017-01-01,2017-01-31,Q19a1
Average Change in Other Income,-623,0,0,444.4,1469,0,0,615.17,0,NA,all_persons,2017-01-01,2017-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,0,11,5,1,3,24,6,0.25,NA,all_persons,2017-01-01,2017-01-31,Q19a1
Average Change in Overall Income,-623,0,0,444.4,1669,0,295,648.5,0,NA,all_persons,2017-01-01,2017-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,0,2,31,36,2,0.06,NA,all_persons,2017-02-01,2017-02-28,Q19a1
Average Change in Earned Income,0,0,0,0,533.5,0,0,533.5,0,NA,all_persons,2017-02-01,2017-02-28,Q19a1
Number of Adults with Other Income,1,0,14,5,1,13,36,6,0.17,NA,all_persons,2017-02-01,2017-02-28,Q19a1
Average Change in Other Income,-623,0,0,444.4,1469,0,0,615.17,0,NA,all_persons,2017-02-01,2017-02-28,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,0,16,5,2,9,36,7,0.19,NA,all_persons,2017-02-01,2017-02-28,Q19a1
Average Change in Overall Income,-623,0,0,444.4,1268,0,221,679.71,0,NA,all_persons,2017-02-01,2017-02-28,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,0,2,33,38,2,0.05,NA,all_persons,2017-03-01,2017-03-31,Q19a1
Average Change in Earned Income,0,0,0,0,533.5,0,0,533.5,0,NA,all_persons,2017-03-01,2017-03-31,Q19a1
Number of Adults with Other Income,2,0,13,5,1,15,38,6,0.16,NA,all_persons,2017-03-01,2017-03-31,Q19a1
Average Change in Other Income,-665,0,0,444.4,1469,0,0,615.17,0,NA,all_persons,2017-03-01,2017-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,15,5,2,11,38,7,0.18,NA,all_persons,2017-03-01,2017-03-31,Q19a1
Average Change in Overall Income,-665,0,0,444.4,1268,0,190,679.71,0,NA,all_persons,2017-03-01,2017-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,4,0,2,37,44,2,0.05,NA,all_persons,2017-04-01,2017-04-30,Q19a1
Average Change in Earned Income,0,0,0,0,533.5,0,0,533.5,0,NA,all_persons,2017-04-01,2017-04-30,Q19a1
Number of Adults with Other Income,2,0,14,6,1,19,44,7,0.16,NA,all_persons,2017-04-01,2017-04-30,Q19a1
Average Change in Other Income,-665,0,0,376.5,1469,0,0,532.57,0,NA,all_persons,2017-04-01,2017-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,18,6,2,13,44,8,0.18,NA,all_persons,2017-04-01,2017-04-30,Q19a1
Average Change in Overall Income,-665,0,0,376.5,1268,0,165,599.38,0,NA,all_persons,2017-04-01,2017-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,4,0,2,37,44,3,0.07,NA,all_persons,2017-05-01,2017-05-31,Q19a1
Average Change in Earned Income,0,0,0,0,533.5,0,0,514,0,NA,all_persons,2017-05-01,2017-05-31,Q19a1
Number of Adults with Other Income,2,0,14,6,1,19,44,7,0.16,NA,all_persons,2017-05-01,2017-05-31,Q19a1
Average Change in Other Income,-665,0,0,193.5,1469,0,0,375.71,0,NA,all_persons,2017-05-01,2017-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,18,6,2,13,44,9,0.2,NA,all_persons,2017-05-01,2017-05-31,Q19a1
Average Change in Overall Income,-665,0,0,193.5,1268,0,151,463.56,0,NA,all_persons,2017-05-01,2017-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,4,1,2,38,46,4,0.09,NA,all_persons,2017-06-01,2017-06-30,Q19a1
Average Change in Earned Income,0,0,0,1200,533.5,0,0,685.5,0,NA,all_persons,2017-06-01,2017-06-30,Q19a1
Number of Adults with Other Income,2,0,15,6,1,20,46,7,0.15,NA,all_persons,2017-06-01,2017-06-30,Q19a1
Average Change in Other Income,-665,0,0,193.5,1469,0,0,375.71,0,NA,all_persons,2017-06-01,2017-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,19,7,2,13,46,10,0.22,NA,all_persons,2017-06-01,2017-06-30,Q19a1
Average Change in Overall Income,-665,0,0,337.29,1268,0,171,537.2,0,NA,all_persons,2017-06-01,2017-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,4,1,2,37,45,4,0.09,NA,all_persons,2017-07-01,2017-07-31,Q19a1
Average Change in Earned Income,0,0,0,1200,533.5,0,0,685.5,0,NA,all_persons,2017-07-01,2017-07-31,Q19a1
Number of Adults with Other Income,2,0,13,7,1,20,45,8,0.18,NA,all_persons,2017-07-01,2017-07-31,Q19a1
Average Change in Other Income,-665,0,0,273.71,1469,0,0,423.13,0,NA,all_persons,2017-07-01,2017-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,17,8,2,13,45,11,0.24,NA,all_persons,2017-07-01,2017-07-31,Q19a1
Average Change in Overall Income,-665,0,0,389.5,1268,0,191,557,0,NA,all_persons,2017-07-01,2017-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,1,1,40,49,3,0.06,NA,all_persons,2017-08-01,2017-08-31,Q19a1
Average Change in Earned Income,0,0,0,1200,200,0,0,625,0,NA,all_persons,2017-08-01,2017-08-31,Q19a1
Number of Adults with Other Income,2,0,16,7,1,21,49,8,0.16,NA,all_persons,2017-08-01,2017-08-31,Q19a1
Average Change in Other Income,-665,0,0,273.71,1469,0,0,423.13,0,NA,all_persons,2017-08-01,2017-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,0,21,8,1,13,49,10,0.2,NA,all_persons,2017-08-01,2017-08-31,Q19a1
Average Change in Overall Income,-665,0,0,389.5,1669,0,155,526,0,NA,all_persons,2017-08-01,2017-08-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,5,0,1,39,47,2,0.04,NA,all_persons,2017-09-01,2017-09-30,Q19a1
Average Change in Earned Income,0,0,0,0,200,0,0,337.5,0,NA,all_persons,2017-09-01,2017-09-30,Q19a1
