number_of_veterans_by_income_category,population,start_date,end_date,question,status,count
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,6
Veterans with Only Other Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,11
Veterans with No Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,5
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Number of veterans not yet required to have an annual assessment,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_start,19
Total Veterans,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Total Veterans,veterans,2014-12-01,2014-12-31,Q25f,number_of_veterans_at_exit_leavers,9
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,6
Veterans with Only Other Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,5
Veterans with Both Earned and Other Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,11
Veterans with No Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,6
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,6
Number of veterans not yet required to have an annual assessment,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_start,19
Total Veterans,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,7
Total Veterans,veterans,2015-01-01,2015-01-31,Q25f,number_of_veterans_at_exit_leavers,12
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Only Other Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,5
Veterans with Only Other Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,8
Veterans with No Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Number of veterans not yet required to have an annual assessment,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_start,16
Total Veterans,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Total Veterans,veterans,2015-02-01,2015-02-28,Q25f,number_of_veterans_at_exit_leavers,6
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,8
Veterans with Only Other Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,12
Veterans with No Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,6
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,12
Number of veterans not yet required to have an annual assessment,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_start,22
Total Veterans,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,13
Total Veterans,veterans,2015-03-01,2015-03-31,Q25f,number_of_veterans_at_exit_leavers,9
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Only Other Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,8
Veterans with Only Other Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,6
Veterans with Both Earned and Other Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,7
Veterans with No Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,5
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,1
Veterans with Missing Income Information,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,1
Number of veterans not yet required to have an annual assessment,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Number of veterans not yet required to have an annual assessment,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_start,21
Total Veterans,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Total Veterans,veterans,2015-04-01,2015-04-30,Q25f,number_of_veterans_at_exit_leavers,16
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,3
Veterans with Only Other Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Both Earned and Other Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,2
Veterans with No Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Number of veterans not yet required to have an annual assessment,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_start,6
Total Veterans,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Total Veterans,veterans,2015-05-01,2015-05-31,Q25f,number_of_veterans_at_exit_leavers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,2
Veterans with Only Other Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Both Earned and Other Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,5
Veterans with No Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Number of veterans not yet required to have an annual assessment,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_start,10
Total Veterans,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_annual_assessment_stayers,6
Total Veterans,veterans,2015-06-01,2015-06-30,Q25f,number_of_veterans_at_exit_leavers,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Only Other Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,1
Veterans with Only Other Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,6
Veterans with No Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Number of veterans not yet required to have an annual assessment,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_start,13
Total Veterans,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Total Veterans,veterans,2015-07-01,2015-07-31,Q25f,number_of_veterans_at_exit_leavers,3
