report_validations,count,population,start_date,end_date,question
Number of Children (under age 18),150,all_persons,2015-02-01,2015-02-28,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-02-01,2015-02-28,Q5a
Number of Leavers,173,all_persons,2015-02-01,2015-02-28,Q5a
Number of Adult Leavers,134,all_persons,2015-02-01,2015-02-28,Q5a
Number of Adult and Head of Household Leavers,134,all_persons,2015-02-01,2015-02-28,Q5a
Number of Stayers,426,all_persons,2015-02-01,2015-02-28,Q5a
Number of Adult Stayers,314,all_persons,2015-02-01,2015-02-28,Q5a
Number of Veterans,16,all_persons,2015-02-01,2015-02-28,Q5a
Number of Chronically Homeless Persons,32,all_persons,2015-02-01,2015-02-28,Q5a
Number of Youth Under Age 25,32,all_persons,2015-02-01,2015-02-28,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2015-02-01,2015-02-28,Q5a
Number of Adult Heads of Household,361,all_persons,2015-02-01,2015-02-28,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2015-02-01,2015-02-28,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,95,all_persons,2015-02-01,2015-02-28,Q5a
Total Number of Persons Served,572,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adults (age 18 or over),440,all_persons,2015-03-01,2015-03-31,Q5a
Number of Children (under age 18),131,all_persons,2015-03-01,2015-03-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-03-01,2015-03-31,Q5a
Number of Leavers,199,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult Leavers,140,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult and Head of Household Leavers,140,all_persons,2015-03-01,2015-03-31,Q5a
Number of Stayers,373,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult Stayers,300,all_persons,2015-03-01,2015-03-31,Q5a
Number of Veterans,22,all_persons,2015-03-01,2015-03-31,Q5a
Number of Chronically Homeless Persons,27,all_persons,2015-03-01,2015-03-31,Q5a
Number of Youth Under Age 25,34,all_persons,2015-03-01,2015-03-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult Heads of Household,354,all_persons,2015-03-01,2015-03-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2015-03-01,2015-03-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,95,all_persons,2015-03-01,2015-03-31,Q5a
Total Number of Persons Served,516,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adults (age 18 or over),420,all_persons,2015-04-01,2015-04-30,Q5a
Number of Children (under age 18),95,all_persons,2015-04-01,2015-04-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-04-01,2015-04-30,Q5a
Number of Leavers,181,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult Leavers,145,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult and Head of Household Leavers,145,all_persons,2015-04-01,2015-04-30,Q5a
Number of Stayers,335,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult Stayers,275,all_persons,2015-04-01,2015-04-30,Q5a
Number of Veterans,21,all_persons,2015-04-01,2015-04-30,Q5a
Number of Chronically Homeless Persons,25,all_persons,2015-04-01,2015-04-30,Q5a
Number of Youth Under Age 25,25,all_persons,2015-04-01,2015-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,6,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult Heads of Household,325,all_persons,2015-04-01,2015-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2015-04-01,2015-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,96,all_persons,2015-04-01,2015-04-30,Q5a
Total Number of Persons Served,459,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adults (age 18 or over),352,all_persons,2015-05-01,2015-05-31,Q5a
Number of Children (under age 18),106,all_persons,2015-05-01,2015-05-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-05-01,2015-05-31,Q5a
Number of Leavers,82,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult Leavers,56,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult and Head of Household Leavers,56,all_persons,2015-05-01,2015-05-31,Q5a
Number of Stayers,377,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult Stayers,296,all_persons,2015-05-01,2015-05-31,Q5a
Number of Veterans,6,all_persons,2015-05-01,2015-05-31,Q5a
Number of Chronically Homeless Persons,16,all_persons,2015-05-01,2015-05-31,Q5a
Number of Youth Under Age 25,29,all_persons,2015-05-01,2015-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult Heads of Household,287,all_persons,2015-05-01,2015-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-05-01,2015-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,100,all_persons,2015-05-01,2015-05-31,Q5a
Total Number of Persons Served,535,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adults (age 18 or over),381,all_persons,2015-06-01,2015-06-30,Q5a
Number of Children (under age 18),153,all_persons,2015-06-01,2015-06-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-06-01,2015-06-30,Q5a
Number of Leavers,169,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult Leavers,118,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult and Head of Household Leavers,118,all_persons,2015-06-01,2015-06-30,Q5a
Number of Stayers,366,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult Stayers,263,all_persons,2015-06-01,2015-06-30,Q5a
Number of Veterans,10,all_persons,2015-06-01,2015-06-30,Q5a
Number of Chronically Homeless Persons,17,all_persons,2015-06-01,2015-06-30,Q5a
Number of Youth Under Age 25,31,all_persons,2015-06-01,2015-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,12,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult Heads of Household,303,all_persons,2015-06-01,2015-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-06-01,2015-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,101,all_persons,2015-06-01,2015-06-30,Q5a
Total Number of Persons Served,547,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adults (age 18 or over),379,all_persons,2015-07-01,2015-07-31,Q5a
Number of Children (under age 18),167,all_persons,2015-07-01,2015-07-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-07-01,2015-07-31,Q5a
Number of Leavers,151,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult Leavers,97,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult and Head of Household Leavers,97,all_persons,2015-07-01,2015-07-31,Q5a
Number of Stayers,396,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult Stayers,282,all_persons,2015-07-01,2015-07-31,Q5a
Number of Veterans,13,all_persons,2015-07-01,2015-07-31,Q5a
Number of Chronically Homeless Persons,16,all_persons,2015-07-01,2015-07-31,Q5a
Number of Youth Under Age 25,25,all_persons,2015-07-01,2015-07-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult Heads of Household,306,all_persons,2015-07-01,2015-07-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-07-01,2015-07-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,99,all_persons,2015-07-01,2015-07-31,Q5a
Total Number of Persons Served,507,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adults (age 18 or over),358,all_persons,2015-08-01,2015-08-31,Q5a
Number of Children (under age 18),148,all_persons,2015-08-01,2015-08-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-08-01,2015-08-31,Q5a
Number of Leavers,76,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult Leavers,45,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult and Head of Household Leavers,46,all_persons,2015-08-01,2015-08-31,Q5a
Number of Stayers,431,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult Stayers,313,all_persons,2015-08-01,2015-08-31,Q5a
Number of Veterans,12,all_persons,2015-08-01,2015-08-31,Q5a
Number of Chronically Homeless Persons,23,all_persons,2015-08-01,2015-08-31,Q5a
Number of Youth Under Age 25,20,all_persons,2015-08-01,2015-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult Heads of Household,289,all_persons,2015-08-01,2015-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2015-08-01,2015-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,101,all_persons,2015-08-01,2015-08-31,Q5a
Total Number of Persons Served,608,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adults (age 18 or over),405,all_persons,2015-09-01,2015-09-30,Q5a
Number of Children (under age 18),202,all_persons,2015-09-01,2015-09-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-09-01,2015-09-30,Q5a
Number of Leavers,152,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult Leavers,87,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult and Head of Household Leavers,87,all_persons,2015-09-01,2015-09-30,Q5a
Number of Stayers,456,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult Stayers,318,all_persons,2015-09-01,2015-09-30,Q5a
Number of Veterans,14,all_persons,2015-09-01,2015-09-30,Q5a
Number of Chronically Homeless Persons,27,all_persons,2015-09-01,2015-09-30,Q5a
Number of Youth Under Age 25,23,all_persons,2015-09-01,2015-09-30,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult Heads of Household,317,all_persons,2015-09-01,2015-09-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-09-01,2015-09-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,97,all_persons,2015-09-01,2015-09-30,Q5a
Total Number of Persons Served,630,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adults (age 18 or over),422,all_persons,2015-10-01,2015-10-31,Q5a
Number of Children (under age 18),207,all_persons,2015-10-01,2015-10-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-10-01,2015-10-31,Q5a
Number of Leavers,157,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult Leavers,94,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult and Head of Household Leavers,94,all_persons,2015-10-01,2015-10-31,Q5a
Number of Stayers,473,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult Stayers,328,all_persons,2015-10-01,2015-10-31,Q5a
Number of Veterans,13,all_persons,2015-10-01,2015-10-31,Q5a
Number of Chronically Homeless Persons,28,all_persons,2015-10-01,2015-10-31,Q5a
Number of Youth Under Age 25,34,all_persons,2015-10-01,2015-10-31,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult Heads of Household,338,all_persons,2015-10-01,2015-10-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2015-10-01,2015-10-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,98,all_persons,2015-10-01,2015-10-31,Q5a
Total Number of Persons Served,629,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adults (age 18 or over),453,all_persons,2015-11-01,2015-11-30,Q5a
Number of Children (under age 18),175,all_persons,2015-11-01,2015-11-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-11-01,2015-11-30,Q5a
Number of Leavers,137,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult Leavers,92,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult and Head of Household Leavers,92,all_persons,2015-11-01,2015-11-30,Q5a
Number of Stayers,492,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult Stayers,361,all_persons,2015-11-01,2015-11-30,Q5a
Number of Veterans,16,all_persons,2015-11-01,2015-11-30,Q5a
Number of Chronically Homeless Persons,39,all_persons,2015-11-01,2015-11-30,Q5a
Number of Youth Under Age 25,28,all_persons,2015-11-01,2015-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,14,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult Heads of Household,368,all_persons,2015-11-01,2015-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2015-11-01,2015-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,99,all_persons,2015-11-01,2015-11-30,Q5a
Total Number of Persons Served,618,all_persons,2015-12-01,2015-12-31,Q5a
Number of Adults (age 18 or over),446,all_persons,2015-12-01,2015-12-31,Q5a
Number of Children (under age 18),171,all_persons,2015-12-01,2015-12-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-12-01,2015-12-31,Q5a
Number of Leavers,174,all_persons,2015-12-01,2015-12-31,Q5a
Number of Adult Leavers,116,all_persons,2015-12-01,2015-12-31,Q5a
Number of Adult and Head of Household Leavers,117,all_persons,2015-12-01,2015-12-31,Q5a
Number of Stayers,444,all_persons,2015-12-01,2015-12-31,Q5a
Number of Adult Stayers,330,all_persons,2015-12-01,2015-12-31,Q5a
Number of Veterans,16,all_persons,2015-12-01,2015-12-31,Q5a
Number of Chronically Homeless Persons,38,all_persons,2015-12-01,2015-12-31,Q5a
Number of Youth Under Age 25,31,all_persons,2015-12-01,2015-12-31,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2015-12-01,2015-12-31,Q5a
Number of Adult Heads of Household,357,all_persons,2015-12-01,2015-12-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2015-12-01,2015-12-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,97,all_persons,2015-12-01,2015-12-31,Q5a
Total Number of Persons Served,600,all_persons,2016-01-01,2016-01-31,Q5a
Number of Adults (age 18 or over),448,all_persons,2016-01-01,2016-01-31,Q5a
Number of Children (under age 18),151,all_persons,2016-01-01,2016-01-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2016-01-01,2016-01-31,Q5a
Number of Leavers,140,all_persons,2016-01-01,2016-01-31,Q5a
Number of Adult Leavers,100,all_persons,2016-01-01,2016-01-31,Q5a
Number of Adult and Head of Household Leavers,100,all_persons,2016-01-01,2016-01-31,Q5a
Number of Stayers,460,all_persons,2016-01-01,2016-01-31,Q5a
Number of Adult Stayers,348,all_persons,2016-01-01,2016-01-31,Q5a
Number of Veterans,17,all_persons,2016-01-01,2016-01-31,Q5a
Number of Chronically Homeless Persons,42,all_persons,2016-01-01,2016-01-31,Q5a
Number of Youth Under Age 25,32,all_persons,2016-01-01,2016-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,14,all_persons,2016-01-01,2016-01-31,Q5a
Number of Adult Heads of Household,369,all_persons,2016-01-01,2016-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2016-01-01,2016-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,101,all_persons,2016-01-01,2016-01-31,Q5a
Total Number of Persons Served,575,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adults (age 18 or over),435,all_persons,2016-02-01,2016-02-29,Q5a
Number of Children (under age 18),139,all_persons,2016-02-01,2016-02-29,Q5a
Number of Persons with Unknown Age,1,all_persons,2016-02-01,2016-02-29,Q5a
Number of Leavers,179,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult Leavers,127,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult and Head of Household Leavers,130,all_persons,2016-02-01,2016-02-29,Q5a
Number of Stayers,396,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult Stayers,308,all_persons,2016-02-01,2016-02-29,Q5a
Number of Veterans,19,all_persons,2016-02-01,2016-02-29,Q5a
Number of Chronically Homeless Persons,48,all_persons,2016-02-01,2016-02-29,Q5a
Number of Youth Under Age 25,28,all_persons,2016-02-01,2016-02-29,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult Heads of Household,363,all_persons,2016-02-01,2016-02-29,Q5a
Number of Child and Unknown-Age Heads of Household,3,all_persons,2016-02-01,2016-02-29,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,104,all_persons,2016-02-01,2016-02-29,Q5a
Total Number of Persons Served,574,all_persons,2016-03-01,2016-03-31,Q5a
Number of Adults (age 18 or over),450,all_persons,2016-03-01,2016-03-31,Q5a
Number of Children (under age 18),123,all_persons,2016-03-01,2016-03-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2016-03-01,2016-03-31,Q5a
Number of Leavers,157,all_persons,2016-03-01,2016-03-31,Q5a
Number of Adult Leavers,119,all_persons,2016-03-01,2016-03-31,Q5a
Number of Adult and Head of Household Leavers,119,all_persons,2016-03-01,2016-03-31,Q5a
Number of Stayers,417,all_persons,2016-03-01,2016-03-31,Q5a
Number of Adult Stayers,331,all_persons,2016-03-01,2016-03-31,Q5a
Number of Veterans,25,all_persons,2016-03-01,2016-03-31,Q5a
Number of Chronically Homeless Persons,49,all_persons,2016-03-01,2016-03-31,Q5a
Number of Youth Under Age 25,32,all_persons,2016-03-01,2016-03-31,Q5a
Number of Parenting Youth Under Age 25 with Children,12,all_persons,2016-03-01,2016-03-31,Q5a
Number of Adult Heads of Household,372,all_persons,2016-03-01,2016-03-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-03-01,2016-03-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,106,all_persons,2016-03-01,2016-03-31,Q5a
Total Number of Persons Served,532,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adults (age 18 or over),403,all_persons,2016-04-01,2016-04-30,Q5a
Number of Children (under age 18),128,all_persons,2016-04-01,2016-04-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2016-04-01,2016-04-30,Q5a
Number of Leavers,115,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult Leavers,86,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult and Head of Household Leavers,88,all_persons,2016-04-01,2016-04-30,Q5a
Number of Stayers,417,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult Stayers,317,all_persons,2016-04-01,2016-04-30,Q5a
Number of Veterans,22,all_persons,2016-04-01,2016-04-30,Q5a
Number of Chronically Homeless Persons,48,all_persons,2016-04-01,2016-04-30,Q5a
Number of Youth Under Age 25,26,all_persons,2016-04-01,2016-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult Heads of Household,329,all_persons,2016-04-01,2016-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2016-04-01,2016-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2016-04-01,2016-04-30,Q5a
Total Number of Persons Served,538,all_persons,2016-05-01,2016-05-31,Q5a
Number of Adults (age 18 or over),383,all_persons,2016-05-01,2016-05-31,Q5a
Number of Children (under age 18),153,all_persons,2016-05-01,2016-05-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-05-01,2016-05-31,Q5a
Number of Leavers,121,all_persons,2016-05-01,2016-05-31,Q5a
Number of Adult Leavers,80,all_persons,2016-05-01,2016-05-31,Q5a
Number of Adult and Head of Household Leavers,80,all_persons,2016-05-01,2016-05-31,Q5a
Number of Stayers,417,all_persons,2016-05-01,2016-05-31,Q5a
Number of Adult Stayers,303,all_persons,2016-05-01,2016-05-31,Q5a
Number of Veterans,20,all_persons,2016-05-01,2016-05-31,Q5a
Number of Chronically Homeless Persons,43,all_persons,2016-05-01,2016-05-31,Q5a
Number of Youth Under Age 25,28,all_persons,2016-05-01,2016-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2016-05-01,2016-05-31,Q5a
Number of Adult Heads of Household,311,all_persons,2016-05-01,2016-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2016-05-01,2016-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2016-05-01,2016-05-31,Q5a
Total Number of Persons Served,533,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adults (age 18 or over),378,all_persons,2016-06-01,2016-06-30,Q5a
Number of Children (under age 18),152,all_persons,2016-06-01,2016-06-30,Q5a
Number of Persons with Unknown Age,3,all_persons,2016-06-01,2016-06-30,Q5a
Number of Leavers,122,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult Leavers,72,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult and Head of Household Leavers,73,all_persons,2016-06-01,2016-06-30,Q5a
Number of Stayers,411,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult Stayers,306,all_persons,2016-06-01,2016-06-30,Q5a
Number of Veterans,22,all_persons,2016-06-01,2016-06-30,Q5a
Number of Chronically Homeless Persons,46,all_persons,2016-06-01,2016-06-30,Q5a
Number of Youth Under Age 25,24,all_persons,2016-06-01,2016-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult Heads of Household,310,all_persons,2016-06-01,2016-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2016-06-01,2016-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2016-06-01,2016-06-30,Q5a
Total Number of Persons Served,577,all_persons,2016-07-01,2016-07-31,Q5a
Number of Adults (age 18 or over),406,all_persons,2016-07-01,2016-07-31,Q5a
Number of Children (under age 18),169,all_persons,2016-07-01,2016-07-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-07-01,2016-07-31,Q5a
Number of Leavers,98,all_persons,2016-07-01,2016-07-31,Q5a
Number of Adult Leavers,55,all_persons,2016-07-01,2016-07-31,Q5a
Number of Adult and Head of Household Leavers,55,all_persons,2016-07-01,2016-07-31,Q5a
Number of Stayers,479,all_persons,2016-07-01,2016-07-31,Q5a
Number of Adult Stayers,351,all_persons,2016-07-01,2016-07-31,Q5a
Number of Veterans,22,all_persons,2016-07-01,2016-07-31,Q5a
Number of Chronically Homeless Persons,46,all_persons,2016-07-01,2016-07-31,Q5a
Number of Youth Under Age 25,25,all_persons,2016-07-01,2016-07-31,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2016-07-01,2016-07-31,Q5a
Number of Adult Heads of Household,325,all_persons,2016-07-01,2016-07-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-07-01,2016-07-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,109,all_persons,2016-07-01,2016-07-31,Q5a
Total Number of Persons Served,705,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adults (age 18 or over),479,all_persons,2016-08-01,2016-08-31,Q5a
Number of Children (under age 18),224,all_persons,2016-08-01,2016-08-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-08-01,2016-08-31,Q5a
Number of Leavers,149,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult Leavers,103,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult and Head of Household Leavers,103,all_persons,2016-08-01,2016-08-31,Q5a
Number of Stayers,556,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult Stayers,376,all_persons,2016-08-01,2016-08-31,Q5a
Number of Veterans,29,all_persons,2016-08-01,2016-08-31,Q5a
Number of Chronically Homeless Persons,50,all_persons,2016-08-01,2016-08-31,Q5a
Number of Youth Under Age 25,31,all_persons,2016-08-01,2016-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult Heads of Household,364,all_persons,2016-08-01,2016-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-08-01,2016-08-31,Q5a
