age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2016-02-01,2016-02-29,Q27b
Parent youth 18 to 24,9,11,20,7,parenting_youth,2016-02-01,2016-02-29,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-03-01,2016-03-31,Q27b
Parent youth 18 to 24,12,12,24,9,parenting_youth,2016-03-01,2016-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-04-01,2016-04-30,Q27b
Parent youth 18 to 24,10,12,22,9,parenting_youth,2016-04-01,2016-04-30,Q27b
Parent youth < 18,1,3,4,1,parenting_youth,2016-05-01,2016-05-31,Q27b
Parent youth 18 to 24,10,11,21,9,parenting_youth,2016-05-01,2016-05-31,Q27b
Parent youth < 18,1,3,4,1,parenting_youth,2016-06-01,2016-06-30,Q27b
Parent youth 18 to 24,8,9,17,7,parenting_youth,2016-06-01,2016-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-07-01,2016-07-31,Q27b
Parent youth 18 to 24,9,8,17,7,parenting_youth,2016-07-01,2016-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-08-01,2016-08-31,Q27b
Parent youth 18 to 24,15,19,34,12,parenting_youth,2016-08-01,2016-08-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-09-01,2016-09-30,Q27b
Parent youth 18 to 24,13,15,28,10,parenting_youth,2016-09-01,2016-09-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-10-01,2016-10-31,Q27b
Parent youth 18 to 24,9,9,18,6,parenting_youth,2016-10-01,2016-10-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-11-01,2016-11-30,Q27b
Parent youth 18 to 24,11,15,26,9,parenting_youth,2016-11-01,2016-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-12-01,2016-12-31,Q27b
Parent youth 18 to 24,11,22,33,10,parenting_youth,2016-12-01,2016-12-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-01-01,2017-01-31,Q27b
Parent youth 18 to 24,13,24,37,11,parenting_youth,2017-01-01,2017-01-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-02-01,2017-02-28,Q27b
Parent youth 18 to 24,8,14,23,7,parenting_youth,2017-02-01,2017-02-28,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-03-01,2017-03-31,Q27b
Parent youth 18 to 24,6,9,15,5,parenting_youth,2017-03-01,2017-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-04-01,2017-04-30,Q27b
Parent youth 18 to 24,3,6,9,3,parenting_youth,2017-04-01,2017-04-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-05-01,2017-05-31,Q27b
Parent youth 18 to 24,3,5,8,3,parenting_youth,2017-05-01,2017-05-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-06-01,2017-06-30,Q27b
Parent youth 18 to 24,3,7,10,3,parenting_youth,2017-06-01,2017-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-07-01,2017-07-31,Q27b
Parent youth 18 to 24,5,12,17,5,parenting_youth,2017-07-01,2017-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-08-01,2017-08-31,Q27b
Parent youth 18 to 24,7,16,23,7,parenting_youth,2017-08-01,2017-08-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-09-01,2017-09-30,Q27b
Parent youth 18 to 24,3,6,9,3,parenting_youth,2017-09-01,2017-09-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-10-01,2017-10-31,Q27b
Parent youth 18 to 24,2,2,4,2,parenting_youth,2017-10-01,2017-10-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-11-01,2017-11-30,Q27b
Parent youth 18 to 24,4,7,11,4,parenting_youth,2017-11-01,2017-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2017-12-01,2017-12-31,Q27b
Parent youth 18 to 24,0,0,0,0,parenting_youth,2017-12-01,2017-12-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-01-01,2018-01-31,Q27b
Parent youth 18 to 24,3,4,7,3,parenting_youth,2018-01-01,2018-01-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-02-01,2018-02-28,Q27b
Parent youth 18 to 24,4,6,10,4,parenting_youth,2018-02-01,2018-02-28,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-03-01,2018-03-31,Q27b
Parent youth 18 to 24,3,6,9,3,parenting_youth,2018-03-01,2018-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-04-01,2018-04-30,Q27b
Parent youth 18 to 24,3,5,8,3,parenting_youth,2018-04-01,2018-04-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-05-01,2018-05-31,Q27b
Parent youth 18 to 24,7,8,15,6,parenting_youth,2018-05-01,2018-05-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-06-01,2018-06-30,Q27b
Parent youth 18 to 24,9,11,20,8,parenting_youth,2018-06-01,2018-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-07-01,2018-07-31,Q27b
Parent youth 18 to 24,9,12,21,8,parenting_youth,2018-07-01,2018-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-08-01,2018-08-31,Q27b
Parent youth 18 to 24,6,8,14,5,parenting_youth,2018-08-01,2018-08-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-09-01,2018-09-30,Q27b
Parent youth 18 to 24,7,9,16,6,parenting_youth,2018-09-01,2018-09-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-10-01,2018-10-31,Q27b
Parent youth 18 to 24,8,12,20,7,parenting_youth,2018-10-01,2018-10-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-11-01,2018-11-30,Q27b
Parent youth 18 to 24,9,13,22,8,parenting_youth,2018-11-01,2018-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2018-12-01,2018-12-31,Q27b
Parent youth 18 to 24,3,5,8,3,parenting_youth,2018-12-01,2018-12-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-01-01,2019-01-31,Q27b
Parent youth 18 to 24,7,7,14,5,parenting_youth,2019-01-01,2019-01-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-02-01,2019-02-28,Q27b
Parent youth 18 to 24,8,7,15,6,parenting_youth,2019-02-01,2019-02-28,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-03-01,2019-03-31,Q27b
Parent youth 18 to 24,6,4,10,4,parenting_youth,2019-03-01,2019-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-04-01,2019-04-30,Q27b
Parent youth 18 to 24,4,3,7,3,parenting_youth,2019-04-01,2019-04-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-05-01,2019-05-31,Q27b
Parent youth 18 to 24,5,9,14,5,parenting_youth,2019-05-01,2019-05-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-06-01,2019-06-30,Q27b
Parent youth 18 to 24,9,13,22,8,parenting_youth,2019-06-01,2019-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-07-01,2019-07-31,Q27b
Parent youth 18 to 24,15,18,33,13,parenting_youth,2019-07-01,2019-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-08-01,2019-08-31,Q27b
Parent youth 18 to 24,14,18,32,12,parenting_youth,2019-08-01,2019-08-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-09-01,2019-09-30,Q27b
Parent youth 18 to 24,15,19,34,13,parenting_youth,2019-09-01,2019-09-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-10-01,2019-10-31,Q27b
Parent youth 18 to 24,13,16,29,12,parenting_youth,2019-10-01,2019-10-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-11-01,2019-11-30,Q27b
Parent youth 18 to 24,11,14,25,10,parenting_youth,2019-11-01,2019-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2019-12-01,2019-12-31,Q27b
Parent youth 18 to 24,11,14,25,10,parenting_youth,2019-12-01,2019-12-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-01-01,2020-01-31,Q27b
Parent youth 18 to 24,17,22,39,14,parenting_youth,2020-01-01,2020-01-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-02-01,2020-02-29,Q27b
Parent youth 18 to 24,14,15,29,11,parenting_youth,2020-02-01,2020-02-29,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-03-01,2020-03-31,Q27b
Parent youth 18 to 24,11,10,21,8,parenting_youth,2020-03-01,2020-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-04-01,2020-04-30,Q27b
Parent youth 18 to 24,10,10,20,8,parenting_youth,2020-04-01,2020-04-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-05-01,2020-05-31,Q27b
Parent youth 18 to 24,9,9,18,7,parenting_youth,2020-05-01,2020-05-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-06-01,2020-06-30,Q27b
Parent youth 18 to 24,12,11,23,9,parenting_youth,2020-06-01,2020-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-07-01,2020-07-31,Q27b
Parent youth 18 to 24,10,12,22,8,parenting_youth,2020-07-01,2020-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-08-01,2020-08-31,Q27b
Parent youth 18 to 24,8,11,19,7,parenting_youth,2020-08-01,2020-08-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-09-01,2020-09-30,Q27b
Parent youth 18 to 24,13,20,33,11,parenting_youth,2020-09-01,2020-09-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-10-01,2020-10-31,Q27b
Parent youth 18 to 24,15,19,34,12,parenting_youth,2020-10-01,2020-10-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-11-01,2020-11-30,Q27b
Parent youth 18 to 24,13,20,33,11,parenting_youth,2020-11-01,2020-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2020-12-01,2020-12-31,Q27b
Parent youth 18 to 24,13,15,28,10,parenting_youth,2020-12-01,2020-12-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-01-01,2021-01-31,Q27b
Parent youth 18 to 24,15,16,31,11,parenting_youth,2021-01-01,2021-01-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-02-01,2021-02-28,Q27b
Parent youth 18 to 24,17,20,37,13,parenting_youth,2021-02-01,2021-02-28,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-03-01,2021-03-31,Q27b
Parent youth 18 to 24,15,17,32,12,parenting_youth,2021-03-01,2021-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-04-01,2021-04-30,Q27b
Parent youth 18 to 24,15,16,31,12,parenting_youth,2021-04-01,2021-04-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-05-01,2021-05-31,Q27b
Parent youth 18 to 24,11,11,22,9,parenting_youth,2021-05-01,2021-05-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-06-01,2021-06-30,Q27b
Parent youth 18 to 24,10,10,20,8,parenting_youth,2021-06-01,2021-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-07-01,2021-07-31,Q27b
Parent youth 18 to 24,8,7,15,7,parenting_youth,2021-07-01,2021-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-08-01,2021-08-31,Q27b
Parent youth 18 to 24,10,11,21,9,parenting_youth,2021-08-01,2021-08-31,Q27b
Parent youth < 18,2,1,3,1,parenting_youth,2021-09-01,2021-09-30,Q27b
Parent youth 18 to 24,11,14,26,9,parenting_youth,2021-09-01,2021-09-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-10-01,2021-10-31,Q27b
Parent youth 18 to 24,13,14,27,9,parenting_youth,2021-10-01,2021-10-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-11-01,2021-11-30,Q27b
Parent youth 18 to 24,13,17,30,10,parenting_youth,2021-11-01,2021-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2021-12-01,2021-12-31,Q27b
Parent youth 18 to 24,14,18,32,11,parenting_youth,2021-12-01,2021-12-31,Q27b
Parent youth < 18,2,1,3,1,parenting_youth,2022-01-01,2022-01-31,Q27b
Parent youth 18 to 24,13,14,28,10,parenting_youth,2022-01-01,2022-01-31,Q27b
Parent youth < 18,2,1,3,1,parenting_youth,2022-02-01,2022-02-28,Q27b
Parent youth 18 to 24,17,17,35,12,parenting_youth,2022-02-01,2022-02-28,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2022-03-01,2022-03-31,Q27b
Parent youth 18 to 24,14,14,28,10,parenting_youth,2022-03-01,2022-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2022-04-01,2022-04-30,Q27b
Parent youth 18 to 24,11,13,24,9,parenting_youth,2022-04-01,2022-04-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2022-05-01,2022-05-31,Q27b
Parent youth 18 to 24,9,10,19,7,parenting_youth,2022-05-01,2022-05-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2022-06-01,2022-06-30,Q27b
Parent youth 18 to 24,9,11,20,7,parenting_youth,2022-06-01,2022-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2022-07-01,2022-07-31,Q27b
Parent youth 18 to 24,10,12,22,8,parenting_youth,2022-07-01,2022-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2022-08-01,2022-08-31,Q27b
Parent youth 18 to 24,11,14,25,9,parenting_youth,2022-08-01,2022-08-31,Q27b
