data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Social Security Number (3.2),16,26,1,43,0.08,data_quality,2015-07-01,2015-07-31,Q6a
Date of Birth (3.3),0,4,0,4,0.01,data_quality,2015-07-01,2015-07-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2015-07-01,2015-07-31,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2015-07-01,2015-07-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-07-01,2015-07-31,Q6a
Overall Score,0,0,0,49,0.09,data_quality,2015-07-01,2015-07-31,Q6a
Name (3.1),0,0,6,6,0.01,data_quality,2015-08-01,2015-08-31,Q6a
Social Security Number (3.2),12,28,2,42,0.08,data_quality,2015-08-01,2015-08-31,Q6a
Date of Birth (3.3),0,5,0,5,0.01,data_quality,2015-08-01,2015-08-31,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2015-08-01,2015-08-31,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2015-08-01,2015-08-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-08-01,2015-08-31,Q6a
Overall Score,0,0,0,50,0.1,data_quality,2015-08-01,2015-08-31,Q6a
Name (3.1),0,0,4,4,0.01,data_quality,2015-09-01,2015-09-30,Q6a
Social Security Number (3.2),9,24,3,36,0.06,data_quality,2015-09-01,2015-09-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2015-09-01,2015-09-30,Q6a
Race (3.4),0,2,0,2,0,data_quality,2015-09-01,2015-09-30,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2015-09-01,2015-09-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-09-01,2015-09-30,Q6a
Overall Score,0,0,0,41,0.07,data_quality,2015-09-01,2015-09-30,Q6a
Name (3.1),0,0,4,4,0.01,data_quality,2015-10-01,2015-10-31,Q6a
Social Security Number (3.2),8,26,3,37,0.06,data_quality,2015-10-01,2015-10-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2015-10-01,2015-10-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2015-10-01,2015-10-31,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2015-10-01,2015-10-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-10-01,2015-10-31,Q6a
Overall Score,0,0,0,42,0.07,data_quality,2015-10-01,2015-10-31,Q6a
Name (3.1),0,0,3,3,0,data_quality,2015-11-01,2015-11-30,Q6a
Social Security Number (3.2),8,28,5,41,0.07,data_quality,2015-11-01,2015-11-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2015-11-01,2015-11-30,Q6a
Race (3.4),0,3,0,3,0,data_quality,2015-11-01,2015-11-30,Q6a
Ethinicity (3.5),0,2,0,2,0,data_quality,2015-11-01,2015-11-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-11-01,2015-11-30,Q6a
Overall Score,0,0,0,47,0.07,data_quality,2015-11-01,2015-11-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2015-12-01,2015-12-31,Q6a
Social Security Number (3.2),8,32,4,44,0.07,data_quality,2015-12-01,2015-12-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2015-12-01,2015-12-31,Q6a
Race (3.4),0,3,0,3,0,data_quality,2015-12-01,2015-12-31,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2015-12-01,2015-12-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-12-01,2015-12-31,Q6a
Overall Score,0,0,0,48,0.08,data_quality,2015-12-01,2015-12-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2016-01-01,2016-01-31,Q6a
Social Security Number (3.2),9,29,4,42,0.07,data_quality,2016-01-01,2016-01-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2016-01-01,2016-01-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2016-01-01,2016-01-31,Q6a
Ethinicity (3.5),0,2,0,2,0,data_quality,2016-01-01,2016-01-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2016-01-01,2016-01-31,Q6a
Overall Score,0,0,0,47,0.08,data_quality,2016-01-01,2016-01-31,Q6a
Name (3.1),0,0,3,3,0.01,data_quality,2016-02-01,2016-02-29,Q6a
Social Security Number (3.2),9,25,4,38,0.07,data_quality,2016-02-01,2016-02-29,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2016-02-01,2016-02-29,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2016-02-01,2016-02-29,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2016-02-01,2016-02-29,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2016-02-01,2016-02-29,Q6a
Overall Score,0,0,0,43,0.07,data_quality,2016-02-01,2016-02-29,Q6a
Name (3.1),0,0,4,4,0.01,data_quality,2016-03-01,2016-03-31,Q6a
Social Security Number (3.2),5,26,3,34,0.06,data_quality,2016-03-01,2016-03-31,Q6a
Date of Birth (3.3),0,3,0,3,0.01,data_quality,2016-03-01,2016-03-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2016-03-01,2016-03-31,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2016-03-01,2016-03-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-03-01,2016-03-31,Q6a
Overall Score,0,0,0,44,0.08,data_quality,2016-03-01,2016-03-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2016-04-01,2016-04-30,Q6a
Social Security Number (3.2),7,20,2,29,0.05,data_quality,2016-04-01,2016-04-30,Q6a
Date of Birth (3.3),0,3,0,3,0.01,data_quality,2016-04-01,2016-04-30,Q6a
Race (3.4),0,2,0,2,0,data_quality,2016-04-01,2016-04-30,Q6a
Ethinicity (3.5),0,2,0,2,0,data_quality,2016-04-01,2016-04-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-04-01,2016-04-30,Q6a
Overall Score,0,0,0,36,0.07,data_quality,2016-04-01,2016-04-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2016-05-01,2016-05-31,Q6a
Social Security Number (3.2),9,17,0,26,0.05,data_quality,2016-05-01,2016-05-31,Q6a
Date of Birth (3.3),0,4,1,5,0.01,data_quality,2016-05-01,2016-05-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2016-05-01,2016-05-31,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2016-05-01,2016-05-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-05-01,2016-05-31,Q6a
Overall Score,0,0,0,34,0.06,data_quality,2016-05-01,2016-05-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2016-06-01,2016-06-30,Q6a
Social Security Number (3.2),10,11,0,21,0.04,data_quality,2016-06-01,2016-06-30,Q6a
Date of Birth (3.3),0,5,0,5,0.01,data_quality,2016-06-01,2016-06-30,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2016-06-01,2016-06-30,Q6a
Ethinicity (3.5),0,3,0,3,0.01,data_quality,2016-06-01,2016-06-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-06-01,2016-06-30,Q6a
Overall Score,0,0,0,28,0.05,data_quality,2016-06-01,2016-06-30,Q6a
Name (3.1),0,0,1,1,0,data_quality,2016-07-01,2016-07-31,Q6a
Social Security Number (3.2),9,12,2,23,0.04,data_quality,2016-07-01,2016-07-31,Q6a
Date of Birth (3.3),0,4,0,4,0.01,data_quality,2016-07-01,2016-07-31,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2016-07-01,2016-07-31,Q6a
Ethinicity (3.5),0,2,0,2,0,data_quality,2016-07-01,2016-07-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-07-01,2016-07-31,Q6a
Overall Score,0,0,0,27,0.05,data_quality,2016-07-01,2016-07-31,Q6a
Name (3.1),0,0,0,0,0,data_quality,2016-08-01,2016-08-31,Q6a
Social Security Number (3.2),7,14,2,23,0.03,data_quality,2016-08-01,2016-08-31,Q6a
Date of Birth (3.3),0,3,0,3,0,data_quality,2016-08-01,2016-08-31,Q6a
Race (3.4),0,3,0,3,0,data_quality,2016-08-01,2016-08-31,Q6a
Ethinicity (3.5),0,3,0,3,0,data_quality,2016-08-01,2016-08-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-08-01,2016-08-31,Q6a
Overall Score,0,0,0,27,0.04,data_quality,2016-08-01,2016-08-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2016-09-01,2016-09-30,Q6a
Social Security Number (3.2),11,16,2,29,0.04,data_quality,2016-09-01,2016-09-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2016-09-01,2016-09-30,Q6a
Race (3.4),0,3,0,3,0,data_quality,2016-09-01,2016-09-30,Q6a
Ethinicity (3.5),0,4,0,4,0.01,data_quality,2016-09-01,2016-09-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-09-01,2016-09-30,Q6a
Overall Score,0,0,0,34,0.05,data_quality,2016-09-01,2016-09-30,Q6a
Name (3.1),1,0,2,3,0,data_quality,2016-10-01,2016-10-31,Q6a
Social Security Number (3.2),13,20,0,33,0.05,data_quality,2016-10-01,2016-10-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2016-10-01,2016-10-31,Q6a
Race (3.4),0,3,0,3,0,data_quality,2016-10-01,2016-10-31,Q6a
Ethinicity (3.5),0,3,0,3,0,data_quality,2016-10-01,2016-10-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-10-01,2016-10-31,Q6a
Overall Score,0,0,0,38,0.06,data_quality,2016-10-01,2016-10-31,Q6a
Name (3.1),1,0,1,2,0,data_quality,2016-11-01,2016-11-30,Q6a
Social Security Number (3.2),11,18,2,31,0.04,data_quality,2016-11-01,2016-11-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2016-11-01,2016-11-30,Q6a
Race (3.4),2,3,0,5,0.01,data_quality,2016-11-01,2016-11-30,Q6a
Ethinicity (3.5),1,2,0,3,0,data_quality,2016-11-01,2016-11-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-11-01,2016-11-30,Q6a
Overall Score,0,0,0,36,0.05,data_quality,2016-11-01,2016-11-30,Q6a
Name (3.1),0,0,1,1,0,data_quality,2016-12-01,2016-12-31,Q6a
Social Security Number (3.2),13,20,1,34,0.05,data_quality,2016-12-01,2016-12-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2016-12-01,2016-12-31,Q6a
Race (3.4),1,3,0,4,0.01,data_quality,2016-12-01,2016-12-31,Q6a
Ethinicity (3.5),1,2,0,3,0,data_quality,2016-12-01,2016-12-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2016-12-01,2016-12-31,Q6a
Overall Score,0,0,0,38,0.05,data_quality,2016-12-01,2016-12-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2017-01-01,2017-01-31,Q6a
Social Security Number (3.2),13,20,1,34,0.05,data_quality,2017-01-01,2017-01-31,Q6a
Date of Birth (3.3),0,5,0,5,0.01,data_quality,2017-01-01,2017-01-31,Q6a
Race (3.4),1,7,0,8,0.01,data_quality,2017-01-01,2017-01-31,Q6a
Ethinicity (3.5),0,2,0,2,0,data_quality,2017-01-01,2017-01-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-01-01,2017-01-31,Q6a
Overall Score,0,0,0,41,0.06,data_quality,2017-01-01,2017-01-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2017-02-01,2017-02-28,Q6a
Social Security Number (3.2),16,23,3,42,0.07,data_quality,2017-02-01,2017-02-28,Q6a
Date of Birth (3.3),0,7,2,9,0.01,data_quality,2017-02-01,2017-02-28,Q6a
Race (3.4),1,3,0,4,0.01,data_quality,2017-02-01,2017-02-28,Q6a
Ethinicity (3.5),1,2,0,3,0,data_quality,2017-02-01,2017-02-28,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-02-01,2017-02-28,Q6a
Overall Score,0,0,0,47,0.08,data_quality,2017-02-01,2017-02-28,Q6a
Name (3.1),0,0,1,1,0,data_quality,2017-03-01,2017-03-31,Q6a
Social Security Number (3.2),11,25,4,40,0.07,data_quality,2017-03-01,2017-03-31,Q6a
Date of Birth (3.3),0,13,0,13,0.02,data_quality,2017-03-01,2017-03-31,Q6a
Race (3.4),1,3,0,4,0.01,data_quality,2017-03-01,2017-03-31,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2017-03-01,2017-03-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-03-01,2017-03-31,Q6a
Overall Score,0,0,0,43,0.08,data_quality,2017-03-01,2017-03-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2017-04-01,2017-04-30,Q6a
Social Security Number (3.2),12,28,2,42,0.08,data_quality,2017-04-01,2017-04-30,Q6a
Date of Birth (3.3),0,13,0,13,0.02,data_quality,2017-04-01,2017-04-30,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2017-04-01,2017-04-30,Q6a
Ethinicity (3.5),0,2,0,2,0,data_quality,2017-04-01,2017-04-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-04-01,2017-04-30,Q6a
Overall Score,0,0,0,45,0.08,data_quality,2017-04-01,2017-04-30,Q6a
Name (3.1),0,0,3,3,0.01,data_quality,2017-05-01,2017-05-31,Q6a
Social Security Number (3.2),10,23,0,33,0.07,data_quality,2017-05-01,2017-05-31,Q6a
Date of Birth (3.3),0,10,0,10,0.02,data_quality,2017-05-01,2017-05-31,Q6a
Race (3.4),3,4,0,7,0.01,data_quality,2017-05-01,2017-05-31,Q6a
Ethinicity (3.5),0,3,0,3,0.01,data_quality,2017-05-01,2017-05-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-05-01,2017-05-31,Q6a
Overall Score,0,0,0,42,0.08,data_quality,2017-05-01,2017-05-31,Q6a
Name (3.1),0,0,3,3,0.01,data_quality,2017-06-01,2017-06-30,Q6a
Social Security Number (3.2),12,20,0,32,0.06,data_quality,2017-06-01,2017-06-30,Q6a
Date of Birth (3.3),0,7,0,7,0.01,data_quality,2017-06-01,2017-06-30,Q6a
Race (3.4),3,5,0,8,0.01,data_quality,2017-06-01,2017-06-30,Q6a
Ethinicity (3.5),0,3,0,3,0.01,data_quality,2017-06-01,2017-06-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-06-01,2017-06-30,Q6a
Overall Score,0,0,0,43,0.08,data_quality,2017-06-01,2017-06-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2017-07-01,2017-07-31,Q6a
Social Security Number (3.2),13,26,0,39,0.06,data_quality,2017-07-01,2017-07-31,Q6a
Date of Birth (3.3),0,6,0,6,0.01,data_quality,2017-07-01,2017-07-31,Q6a
Race (3.4),0,5,0,5,0.01,data_quality,2017-07-01,2017-07-31,Q6a
Ethinicity (3.5),1,3,0,4,0.01,data_quality,2017-07-01,2017-07-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-07-01,2017-07-31,Q6a
Overall Score,0,0,0,45,0.07,data_quality,2017-07-01,2017-07-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2017-08-01,2017-08-31,Q6a
Social Security Number (3.2),12,27,1,40,0.06,data_quality,2017-08-01,2017-08-31,Q6a
Date of Birth (3.3),0,7,0,7,0.01,data_quality,2017-08-01,2017-08-31,Q6a
Race (3.4),0,7,0,7,0.01,data_quality,2017-08-01,2017-08-31,Q6a
Ethinicity (3.5),2,6,0,8,0.01,data_quality,2017-08-01,2017-08-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-08-01,2017-08-31,Q6a
Overall Score,0,0,0,46,0.07,data_quality,2017-08-01,2017-08-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2017-09-01,2017-09-30,Q6a
Social Security Number (3.2),19,23,1,43,0.07,data_quality,2017-09-01,2017-09-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2017-09-01,2017-09-30,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2017-09-01,2017-09-30,Q6a
Ethinicity (3.5),2,2,0,4,0.01,data_quality,2017-09-01,2017-09-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-09-01,2017-09-30,Q6a
Overall Score,0,0,0,47,0.08,data_quality,2017-09-01,2017-09-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2017-10-01,2017-10-31,Q6a
Social Security Number (3.2),11,18,0,29,0.06,data_quality,2017-10-01,2017-10-31,Q6a
Date of Birth (3.3),0,4,0,4,0.01,data_quality,2017-10-01,2017-10-31,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2017-10-01,2017-10-31,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2017-10-01,2017-10-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-10-01,2017-10-31,Q6a
Overall Score,0,0,0,34,0.07,data_quality,2017-10-01,2017-10-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2017-11-01,2017-11-30,Q6a
Social Security Number (3.2),16,17,1,34,0.06,data_quality,2017-11-01,2017-11-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2017-11-01,2017-11-30,Q6a
Race (3.4),0,3,0,3,0.01,data_quality,2017-11-01,2017-11-30,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2017-11-01,2017-11-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-11-01,2017-11-30,Q6a
Overall Score,0,0,0,36,0.06,data_quality,2017-11-01,2017-11-30,Q6a
Name (3.1),0,0,1,1,0,data_quality,2017-12-01,2017-12-31,Q6a
Social Security Number (3.2),13,8,1,22,0.04,data_quality,2017-12-01,2017-12-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2017-12-01,2017-12-31,Q6a
Race (3.4),4,3,0,7,0.01,data_quality,2017-12-01,2017-12-31,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2017-12-01,2017-12-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2017-12-01,2017-12-31,Q6a
Overall Score,0,0,0,29,0.05,data_quality,2017-12-01,2017-12-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-01-01,2018-01-31,Q6a
Social Security Number (3.2),10,7,3,20,0.04,data_quality,2018-01-01,2018-01-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2018-01-01,2018-01-31,Q6a
Race (3.4),4,2,0,6,0.01,data_quality,2018-01-01,2018-01-31,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2018-01-01,2018-01-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2018-01-01,2018-01-31,Q6a
Overall Score,0,0,0,27,0.05,data_quality,2018-01-01,2018-01-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-02-01,2018-02-28,Q6a
Social Security Number (3.2),13,7,3,23,0.04,data_quality,2018-02-01,2018-02-28,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2018-02-01,2018-02-28,Q6a
Race (3.4),2,2,0,4,0.01,data_quality,2018-02-01,2018-02-28,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2018-02-01,2018-02-28,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2018-02-01,2018-02-28,Q6a
Overall Score,0,0,0,27,0.05,data_quality,2018-02-01,2018-02-28,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-03-01,2018-03-31,Q6a
Social Security Number (3.2),12,9,3,24,0.04,data_quality,2018-03-01,2018-03-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2018-03-01,2018-03-31,Q6a
Race (3.4),2,2,0,4,0.01,data_quality,2018-03-01,2018-03-31,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2018-03-01,2018-03-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2018-03-01,2018-03-31,Q6a
Overall Score,0,0,0,28,0.05,data_quality,2018-03-01,2018-03-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-04-01,2018-04-30,Q6a
Social Security Number (3.2),11,8,3,22,0.04,data_quality,2018-04-01,2018-04-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2018-04-01,2018-04-30,Q6a
Race (3.4),1,2,0,3,0.01,data_quality,2018-04-01,2018-04-30,Q6a
Ethinicity (3.5),1,3,0,4,0.01,data_quality,2018-04-01,2018-04-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2018-04-01,2018-04-30,Q6a
Overall Score,0,0,0,27,0.05,data_quality,2018-04-01,2018-04-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-05-01,2018-05-31,Q6a
Social Security Number (3.2),15,10,1,26,0.04,data_quality,2018-05-01,2018-05-31,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2018-05-01,2018-05-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2018-05-01,2018-05-31,Q6a
Ethinicity (3.5),1,3,0,4,0.01,data_quality,2018-05-01,2018-05-31,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2018-05-01,2018-05-31,Q6a
Overall Score,0,0,0,30,0.05,data_quality,2018-05-01,2018-05-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-06-01,2018-06-30,Q6a
Social Security Number (3.2),18,7,2,27,0.05,data_quality,2018-06-01,2018-06-30,Q6a
Date of Birth (3.3),0,2,0,2,0,data_quality,2018-06-01,2018-06-30,Q6a
Race (3.4),0,2,0,2,0,data_quality,2018-06-01,2018-06-30,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2018-06-01,2018-06-30,Q6a
Gender (3.6),0,2,0,2,0,data_quality,2018-06-01,2018-06-30,Q6a
Overall Score,0,0,0,30,0.06,data_quality,2018-06-01,2018-06-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-07-01,2018-07-31,Q6a
Social Security Number (3.2),17,9,3,29,0.06,data_quality,2018-07-01,2018-07-31,Q6a
Date of Birth (3.3),0,1,0,1,0,data_quality,2018-07-01,2018-07-31,Q6a
Race (3.4),1,1,0,2,0,data_quality,2018-07-01,2018-07-31,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2018-07-01,2018-07-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2018-07-01,2018-07-31,Q6a
Overall Score,0,0,0,33,0.07,data_quality,2018-07-01,2018-07-31,Q6a
Name (3.1),0,0,2,2,0,data_quality,2018-08-01,2018-08-31,Q6a
Social Security Number (3.2),18,9,3,30,0.06,data_quality,2018-08-01,2018-08-31,Q6a
