income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Supplemental Security Income (SSI),8,3,11,0.73,1,2,3,0.33,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Social Security Disability Insurance (SSDI),11,3,14,0.79,2,0,2,1,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Retirement Income from Social Security,0,7,7,0,0,0,0,0,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Pension or retirement income from a former job,0,3,3,0,0,0,0,0,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Child Support,0,1,1,0,1,5,6,0.17,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Other source,2,2,4,0.5,1,1,2,0.5,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
No Sources,11,30,41,0.27,0,12,12,0,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
Unduplicated Total Adults,30,59,89,NA,3,31,34,NA,0,0,0,NA,adults,2014-12-01,2014-12-31,Q19b
Earned Income,5,17,22,0.23,1,13,14,0.07,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Supplemental Security Income (SSI),6,4,10,0.6,0,1,1,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Social Security Disability Insurance (SSDI),11,1,12,0.92,1,0,1,1,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,1,0,1,1,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,0,0,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Retirement Income from Social Security,2,2,6,0.33,0,0,0,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Child Support,0,1,1,0,0,1,1,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Other source,1,2,3,0.33,0,2,2,0,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
No Sources,14,38,52,0.27,1,11,12,0.08,0,0,0,0,adults,2015-01-01,2015-01-31,Q19b
Unduplicated Total Adults,35,62,97,NA,4,27,31,NA,0,0,0,NA,adults,2015-01-01,2015-01-31,Q19b
Earned Income,4,16,20,0.2,1,12,13,0.08,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Supplemental Security Income (SSI),7,3,10,0.7,0,0,0,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Social Security Disability Insurance (SSDI),13,2,15,0.87,3,0,3,1,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
VA Service-Connected Disability Compensation,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,2,2,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Child Support,0,3,3,0,1,3,4,0.25,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Other source,1,0,1,1,0,0,0,0,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
No Sources,14,32,46,0.3,2,7,9,0.22,0,0,0,0,adults,2015-02-01,2015-02-28,Q19b
Unduplicated Total Adults,36,56,92,NA,6,23,29,NA,0,0,0,NA,adults,2015-02-01,2015-02-28,Q19b
Earned Income,1,15,16,0.06,3,15,18,0.17,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Supplemental Security Income (SSI),6,2,8,0.75,0,1,1,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Social Security Disability Insurance (SSDI),8,1,9,0.89,0,0,0,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,2,2,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Retirement Income from Social Security,0,5,5,0,0,0,0,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Child Support,0,0,0,0,2,4,6,0.33,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Other source,0,0,0,0,1,2,3,0.33,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
No Sources,17,30,47,0.36,2,15,17,0.12,0,0,0,0,adults,2015-03-01,2015-03-31,Q19b
Unduplicated Total Adults,32,54,86,NA,6,31,37,NA,0,0,0,NA,adults,2015-03-01,2015-03-31,Q19b
Earned Income,2,14,16,0.13,0,10,10,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Supplemental Security Income (SSI),10,3,13,0.77,0,0,0,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Social Security Disability Insurance (SSDI),11,1,12,0.92,0,1,1,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Retirement Income from Social Security,3,0,3,1,0,0,0,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Child Support,0,0,0,0,0,2,2,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Other source,2,1,3,0.67,0,1,1,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
No Sources,15,25,40,0.38,0,20,20,0,0,0,0,0,adults,2015-04-01,2015-04-30,Q19b
Unduplicated Total Adults,40,44,84,NA,0,33,33,NA,0,0,0,NA,adults,2015-04-01,2015-04-30,Q19b
Earned Income,1,6,7,0.14,0,9,9,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Supplemental Security Income (SSI),7,0,7,1,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Social Security Disability Insurance (SSDI),7,0,7,1,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,2,2,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Child Support,0,0,0,0,0,4,4,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Other source,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
No Sources,5,6,11,0.45,1,8,9,0.11,0,0,0,0,adults,2015-05-01,2015-05-31,Q19b
Unduplicated Total Adults,18,14,32,NA,1,18,19,NA,0,0,0,NA,adults,2015-05-01,2015-05-31,Q19b
Earned Income,6,20,26,0.23,4,15,19,0.21,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Supplemental Security Income (SSI),12,1,13,0.92,0,0,0,0,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Social Security Disability Insurance (SSDI),13,4,17,0.76,1,2,3,0.33,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Private Disability Insurance,0,0,0,0,1,0,1,1,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Child Support,0,1,1,0,0,2,2,0,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Other source,1,0,1,1,2,0,2,1,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
No Sources,9,14,23,0.39,6,11,17,0.35,0,0,0,0,adults,2015-06-01,2015-06-30,Q19b
Unduplicated Total Adults,35,39,74,NA,12,28,40,NA,0,0,0,NA,adults,2015-06-01,2015-06-30,Q19b
Earned Income,3,14,17,0.18,2,16,18,0.11,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Supplemental Security Income (SSI),9,0,9,1,0,0,0,0,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Social Security Disability Insurance (SSDI),6,0,6,1,1,0,1,1,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Retirement Income from Social Security,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Pension or retirement income from a former job,1,2,3,0.33,0,0,0,0,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Child Support,0,0,0,0,2,2,4,0.5,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Other source,0,0,0,0,0,1,1,0,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
No Sources,7,17,24,0.29,1,12,13,0.08,0,0,0,0,adults,2015-07-01,2015-07-31,Q19b
Unduplicated Total Adults,24,34,58,NA,4,30,34,NA,0,0,0,NA,adults,2015-07-01,2015-07-31,Q19b
Earned Income,2,9,11,0.18,1,10,11,0.09,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Supplemental Security Income (SSI),1,0,1,1,1,0,1,1,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Social Security Disability Insurance (SSDI),2,0,2,1,1,1,2,0.5,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Retirement Income from Social Security,0,2,2,0,0,0,0,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Child Support,0,0,0,0,0,2,2,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Other source,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
No Sources,3,7,10,0.3,0,1,1,0,0,0,0,0,adults,2015-08-01,2015-08-31,Q19b
Unduplicated Total Adults,8,18,26,NA,2,11,13,NA,0,0,0,NA,adults,2015-08-01,2015-08-31,Q19b
Earned Income,2,12,14,0.14,2,23,25,0.08,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Supplemental Security Income (SSI),4,1,5,0.8,0,1,1,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,2,0,2,1,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Child Support,1,0,1,1,0,2,2,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Other source,0,1,1,0,0,2,2,0,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
No Sources,2,11,13,0.15,4,12,16,0.25,0,0,0,0,adults,2015-09-01,2015-09-30,Q19b
Unduplicated Total Adults,13,24,37,NA,8,36,44,NA,0,0,0,NA,adults,2015-09-01,2015-09-30,Q19b
Earned Income,2,14,16,0.13,2,22,24,0.08,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Supplemental Security Income (SSI),2,0,2,1,3,2,5,0.6,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Social Security Disability Insurance (SSDI),2,0,2,1,4,1,5,0.8,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,2,2,4,0.5,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Retirement Income from Social Security,0,4,5,0,1,1,2,0.5,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Child Support,0,0,0,0,1,4,5,0.2,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Other source,0,0,0,0,0,2,2,0,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
No Sources,2,13,15,0.13,3,10,13,0.23,0,0,0,0,adults,2015-10-01,2015-10-31,Q19b
Unduplicated Total Adults,6,31,37,NA,11,37,48,NA,0,0,0,NA,adults,2015-10-01,2015-10-31,Q19b
Earned Income,5,12,17,0.29,0,20,20,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Supplemental Security Income (SSI),8,5,13,0.62,1,1,2,0.5,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Social Security Disability Insurance (SSDI),8,4,12,0.67,1,1,2,0.5,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,2,2,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Child Support,1,0,1,1,0,3,3,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Other source,2,2,4,0.5,0,1,1,0,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
No Sources,6,9,15,0.4,1,8,9,0.11,0,0,0,0,adults,2015-11-01,2015-11-30,Q19b
Unduplicated Total Adults,24,29,53,NA,3,29,32,NA,0,0,0,NA,adults,2015-11-01,2015-11-30,Q19b
Earned Income,8,18,26,0.31,1,25,26,0.04,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Supplemental Security Income (SSI),6,1,7,0.86,3,2,5,0.6,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,1,0,1,1,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0,1,1,2,0.5,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Retirement Income from Social Security,4,0,4,1,0,0,0,0,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Child Support,0,1,1,0,0,3,3,0,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Other source,3,1,4,0.75,0,1,1,0,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
No Sources,15,15,30,0.5,2,4,6,0.33,0,0,0,0,adults,2015-12-01,2015-12-31,Q19b
Unduplicated Total Adults,36,36,72,NA,6,32,38,NA,0,0,0,NA,adults,2015-12-01,2015-12-31,Q19b
Earned Income,2,15,17,0.12,2,20,22,0.09,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Supplemental Security Income (SSI),5,1,6,0.83,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Social Security Disability Insurance (SSDI),6,0,6,1,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Retirement Income from Social Security,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Child Support,0,0,0,0,0,2,2,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Other source,1,0,1,1,0,2,2,0,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
No Sources,6,21,27,0.22,2,6,8,0.25,0,0,0,0,adults,2016-01-01,2016-01-31,Q19b
Unduplicated Total Adults,18,39,57,NA,4,29,33,NA,0,0,0,NA,adults,2016-01-01,2016-01-31,Q19b
Earned Income,8,32,40,0.2,2,14,16,0.13,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Supplemental Security Income (SSI),7,1,8,0.88,3,0,3,1,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,1,0,1,1,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Child Support,1,0,1,1,2,4,6,0.33,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Other source,1,2,3,0.33,0,1,1,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
No Sources,15,24,39,0.38,0,5,5,0,0,0,0,0,adults,2016-02-01,2016-02-29,Q19b
Unduplicated Total Adults,35,57,92,NA,6,20,26,NA,0,0,0,NA,adults,2016-02-01,2016-02-29,Q19b
Earned Income,1,24,25,0.04,0,12,12,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Supplemental Security Income (SSI),6,2,8,0.75,2,1,3,0.67,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Social Security Disability Insurance (SSDI),4,2,6,0.67,2,0,2,1,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Retirement Income from Social Security,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Child Support,0,0,0,0,0,4,4,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Other source,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
No Sources,17,26,43,0.4,2,6,8,0.25,0,0,0,0,adults,2016-03-01,2016-03-31,Q19b
Unduplicated Total Adults,31,55,86,NA,5,22,27,NA,0,0,0,NA,adults,2016-03-01,2016-03-31,Q19b
Earned Income,5,13,18,0.28,0,10,10,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Supplemental Security Income (SSI),10,0,10,1,1,0,1,1,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Social Security Disability Insurance (SSDI),6,0,6,1,1,0,1,1,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,2,3,0.33,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Child Support,0,0,0,0,0,2,2,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
Other source,1,0,1,1,0,0,0,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
No Sources,14,15,29,0.48,0,7,7,0,0,0,0,0,adults,2016-04-01,2016-04-30,Q19b
