number_of_persons_contacted,all_persons_contacted,first_contact_not_staying_on_the_streets_es_or_sh,first_contact_was_staying_on_the_streets_es_or_sh,first_contact_worker_unable_to_determine,population,start_date,end_date,question
6-9 Times,0,0,0,0,CE,2015-11-01,2015-11-30,Q9a
10+ Times,0,0,0,0,CE,2015-11-01,2015-11-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-11-01,2015-11-30,Q9a
Once,0,0,0,0,CE,2015-12-01,2015-12-31,Q9a
2-5 Times,0,0,0,0,CE,2015-12-01,2015-12-31,Q9a
6-9 Times,0,0,0,0,CE,2015-12-01,2015-12-31,Q9a
10+ Times,0,0,0,0,CE,2015-12-01,2015-12-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-12-01,2015-12-31,Q9a
Once,0,0,0,0,CE,2016-01-01,2016-01-31,Q9a
2-5 Times,0,0,0,0,CE,2016-01-01,2016-01-31,Q9a
6-9 Times,0,0,0,0,CE,2016-01-01,2016-01-31,Q9a
10+ Times,0,0,0,0,CE,2016-01-01,2016-01-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-01-01,2016-01-31,Q9a
Once,0,0,0,0,CE,2016-02-01,2016-02-29,Q9a
2-5 Times,0,0,0,0,CE,2016-02-01,2016-02-29,Q9a
6-9 Times,0,0,0,0,CE,2016-02-01,2016-02-29,Q9a
10+ Times,0,0,0,0,CE,2016-02-01,2016-02-29,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-02-01,2016-02-29,Q9a
Once,0,0,0,0,CE,2016-03-01,2016-03-31,Q9a
2-5 Times,0,0,0,0,CE,2016-03-01,2016-03-31,Q9a
6-9 Times,0,0,0,0,CE,2016-03-01,2016-03-31,Q9a
10+ Times,0,0,0,0,CE,2016-03-01,2016-03-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-03-01,2016-03-31,Q9a
Once,0,0,0,0,CE,2016-04-01,2016-04-30,Q9a
2-5 Times,0,0,0,0,CE,2016-04-01,2016-04-30,Q9a
6-9 Times,0,0,0,0,CE,2016-04-01,2016-04-30,Q9a
10+ Times,0,0,0,0,CE,2016-04-01,2016-04-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-04-01,2016-04-30,Q9a
Once,0,0,0,0,CE,2016-05-01,2016-05-31,Q9a
2-5 Times,0,0,0,0,CE,2016-05-01,2016-05-31,Q9a
6-9 Times,0,0,0,0,CE,2016-05-01,2016-05-31,Q9a
10+ Times,0,0,0,0,CE,2016-05-01,2016-05-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-05-01,2016-05-31,Q9a
Once,0,0,0,0,CE,2016-06-01,2016-06-30,Q9a
2-5 Times,0,0,0,0,CE,2016-06-01,2016-06-30,Q9a
6-9 Times,0,0,0,0,CE,2016-06-01,2016-06-30,Q9a
10+ Times,0,0,0,0,CE,2016-06-01,2016-06-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-06-01,2016-06-30,Q9a
Once,0,0,0,0,CE,2016-07-01,2016-07-31,Q9a
2-5 Times,0,0,0,0,CE,2016-07-01,2016-07-31,Q9a
6-9 Times,0,0,0,0,CE,2016-07-01,2016-07-31,Q9a
10+ Times,0,0,0,0,CE,2016-07-01,2016-07-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-07-01,2016-07-31,Q9a
Once,0,0,0,0,CE,2016-08-01,2016-08-31,Q9a
2-5 Times,0,0,0,0,CE,2016-08-01,2016-08-31,Q9a
6-9 Times,0,0,0,0,CE,2016-08-01,2016-08-31,Q9a
10+ Times,0,0,0,0,CE,2016-08-01,2016-08-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-08-01,2016-08-31,Q9a
Once,0,0,0,0,CE,2016-09-01,2016-09-30,Q9a
2-5 Times,0,0,0,0,CE,2016-09-01,2016-09-30,Q9a
6-9 Times,0,0,0,0,CE,2016-09-01,2016-09-30,Q9a
10+ Times,0,0,0,0,CE,2016-09-01,2016-09-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-09-01,2016-09-30,Q9a
Once,0,0,0,0,CE,2016-10-01,2016-10-31,Q9a
2-5 Times,0,0,0,0,CE,2016-10-01,2016-10-31,Q9a
6-9 Times,0,0,0,0,CE,2016-10-01,2016-10-31,Q9a
10+ Times,0,0,0,0,CE,2016-10-01,2016-10-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-10-01,2016-10-31,Q9a
Once,0,0,0,0,CE,2016-11-01,2016-11-30,Q9a
2-5 Times,0,0,0,0,CE,2016-11-01,2016-11-30,Q9a
6-9 Times,0,0,0,0,CE,2016-11-01,2016-11-30,Q9a
10+ Times,0,0,0,0,CE,2016-11-01,2016-11-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-11-01,2016-11-30,Q9a
Once,0,0,0,0,CE,2016-12-01,2016-12-31,Q9a
2-5 Times,0,0,0,0,CE,2016-12-01,2016-12-31,Q9a
6-9 Times,0,0,0,0,CE,2016-12-01,2016-12-31,Q9a
10+ Times,0,0,0,0,CE,2016-12-01,2016-12-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2016-12-01,2016-12-31,Q9a
Once,0,0,0,0,CE,2017-01-01,2017-01-31,Q9a
2-5 Times,0,0,0,0,CE,2017-01-01,2017-01-31,Q9a
6-9 Times,0,0,0,0,CE,2017-01-01,2017-01-31,Q9a
10+ Times,0,0,0,0,CE,2017-01-01,2017-01-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-01-01,2017-01-31,Q9a
Once,0,0,0,0,CE,2017-02-01,2017-02-28,Q9a
2-5 Times,0,0,0,0,CE,2017-02-01,2017-02-28,Q9a
6-9 Times,0,0,0,0,CE,2017-02-01,2017-02-28,Q9a
10+ Times,0,0,0,0,CE,2017-02-01,2017-02-28,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-02-01,2017-02-28,Q9a
Once,0,0,0,0,CE,2017-03-01,2017-03-31,Q9a
2-5 Times,0,0,0,0,CE,2017-03-01,2017-03-31,Q9a
6-9 Times,0,0,0,0,CE,2017-03-01,2017-03-31,Q9a
10+ Times,0,0,0,0,CE,2017-03-01,2017-03-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-03-01,2017-03-31,Q9a
Once,0,0,0,0,CE,2017-04-01,2017-04-30,Q9a
2-5 Times,0,0,0,0,CE,2017-04-01,2017-04-30,Q9a
6-9 Times,0,0,0,0,CE,2017-04-01,2017-04-30,Q9a
10+ Times,0,0,0,0,CE,2017-04-01,2017-04-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-04-01,2017-04-30,Q9a
Once,0,0,0,0,CE,2017-05-01,2017-05-31,Q9a
2-5 Times,0,0,0,0,CE,2017-05-01,2017-05-31,Q9a
6-9 Times,0,0,0,0,CE,2017-05-01,2017-05-31,Q9a
10+ Times,0,0,0,0,CE,2017-05-01,2017-05-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-05-01,2017-05-31,Q9a
Once,0,0,0,0,CE,2017-06-01,2017-06-30,Q9a
2-5 Times,0,0,0,0,CE,2017-06-01,2017-06-30,Q9a
6-9 Times,0,0,0,0,CE,2017-06-01,2017-06-30,Q9a
10+ Times,0,0,0,0,CE,2017-06-01,2017-06-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-06-01,2017-06-30,Q9a
Once,0,0,0,0,CE,2017-07-01,2017-07-31,Q9a
2-5 Times,0,0,0,0,CE,2017-07-01,2017-07-31,Q9a
6-9 Times,0,0,0,0,CE,2017-07-01,2017-07-31,Q9a
10+ Times,0,0,0,0,CE,2017-07-01,2017-07-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-07-01,2017-07-31,Q9a
Once,0,0,0,0,CE,2017-08-01,2017-08-31,Q9a
2-5 Times,0,0,0,0,CE,2017-08-01,2017-08-31,Q9a
6-9 Times,0,0,0,0,CE,2017-08-01,2017-08-31,Q9a
10+ Times,0,0,0,0,CE,2017-08-01,2017-08-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-08-01,2017-08-31,Q9a
Once,0,0,0,0,CE,2017-09-01,2017-09-30,Q9a
2-5 Times,0,0,0,0,CE,2017-09-01,2017-09-30,Q9a
6-9 Times,0,0,0,0,CE,2017-09-01,2017-09-30,Q9a
10+ Times,0,0,0,0,CE,2017-09-01,2017-09-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-09-01,2017-09-30,Q9a
Once,0,0,0,0,CE,2017-10-01,2017-10-31,Q9a
2-5 Times,0,0,0,0,CE,2017-10-01,2017-10-31,Q9a
6-9 Times,0,0,0,0,CE,2017-10-01,2017-10-31,Q9a
10+ Times,0,0,0,0,CE,2017-10-01,2017-10-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-10-01,2017-10-31,Q9a
Once,0,0,0,0,CE,2017-11-01,2017-11-30,Q9a
2-5 Times,0,0,0,0,CE,2017-11-01,2017-11-30,Q9a
6-9 Times,0,0,0,0,CE,2017-11-01,2017-11-30,Q9a
10+ Times,0,0,0,0,CE,2017-11-01,2017-11-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-11-01,2017-11-30,Q9a
Once,0,0,0,0,CE,2017-12-01,2017-12-31,Q9a
2-5 Times,0,0,0,0,CE,2017-12-01,2017-12-31,Q9a
6-9 Times,0,0,0,0,CE,2017-12-01,2017-12-31,Q9a
10+ Times,0,0,0,0,CE,2017-12-01,2017-12-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2017-12-01,2017-12-31,Q9a
Once,0,0,0,0,CE,2018-01-01,2018-01-31,Q9a
2-5 Times,0,0,0,0,CE,2018-01-01,2018-01-31,Q9a
6-9 Times,0,0,0,0,CE,2018-01-01,2018-01-31,Q9a
10+ Times,0,0,0,0,CE,2018-01-01,2018-01-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-01-01,2018-01-31,Q9a
Once,0,0,0,0,CE,2018-02-01,2018-02-28,Q9a
2-5 Times,0,0,0,0,CE,2018-02-01,2018-02-28,Q9a
6-9 Times,0,0,0,0,CE,2018-02-01,2018-02-28,Q9a
10+ Times,0,0,0,0,CE,2018-02-01,2018-02-28,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-02-01,2018-02-28,Q9a
Once,0,0,0,0,CE,2018-03-01,2018-03-31,Q9a
2-5 Times,0,0,0,0,CE,2018-03-01,2018-03-31,Q9a
6-9 Times,0,0,0,0,CE,2018-03-01,2018-03-31,Q9a
10+ Times,0,0,0,0,CE,2018-03-01,2018-03-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-03-01,2018-03-31,Q9a
Once,0,0,0,0,CE,2018-04-01,2018-04-30,Q9a
2-5 Times,0,0,0,0,CE,2018-04-01,2018-04-30,Q9a
6-9 Times,0,0,0,0,CE,2018-04-01,2018-04-30,Q9a
10+ Times,0,0,0,0,CE,2018-04-01,2018-04-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-04-01,2018-04-30,Q9a
Once,0,0,0,0,CE,2018-05-01,2018-05-31,Q9a
2-5 Times,0,0,0,0,CE,2018-05-01,2018-05-31,Q9a
6-9 Times,0,0,0,0,CE,2018-05-01,2018-05-31,Q9a
10+ Times,0,0,0,0,CE,2018-05-01,2018-05-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-05-01,2018-05-31,Q9a
Once,0,0,0,0,CE,2018-06-01,2018-06-30,Q9a
2-5 Times,0,0,0,0,CE,2018-06-01,2018-06-30,Q9a
6-9 Times,0,0,0,0,CE,2018-06-01,2018-06-30,Q9a
10+ Times,0,0,0,0,CE,2018-06-01,2018-06-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-06-01,2018-06-30,Q9a
Once,0,0,0,0,CE,2018-07-01,2018-07-31,Q9a
2-5 Times,0,0,0,0,CE,2018-07-01,2018-07-31,Q9a
6-9 Times,0,0,0,0,CE,2018-07-01,2018-07-31,Q9a
10+ Times,0,0,0,0,CE,2018-07-01,2018-07-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-07-01,2018-07-31,Q9a
Once,0,0,0,0,CE,2018-08-01,2018-08-31,Q9a
2-5 Times,0,0,0,0,CE,2018-08-01,2018-08-31,Q9a
6-9 Times,0,0,0,0,CE,2018-08-01,2018-08-31,Q9a
10+ Times,0,0,0,0,CE,2018-08-01,2018-08-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-08-01,2018-08-31,Q9a
Once,0,0,0,0,CE,2018-09-01,2018-09-30,Q9a
2-5 Times,0,0,0,0,CE,2018-09-01,2018-09-30,Q9a
6-9 Times,0,0,0,0,CE,2018-09-01,2018-09-30,Q9a
10+ Times,0,0,0,0,CE,2018-09-01,2018-09-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-09-01,2018-09-30,Q9a
Once,0,0,0,0,CE,2018-10-01,2018-10-31,Q9a
2-5 Times,0,0,0,0,CE,2018-10-01,2018-10-31,Q9a
6-9 Times,0,0,0,0,CE,2018-10-01,2018-10-31,Q9a
10+ Times,0,0,0,0,CE,2018-10-01,2018-10-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2018-10-01,2018-10-31,Q9a
Once,4,0,4,0,CE,2018-11-01,2018-11-30,Q9a
2-5 Times,0,0,0,0,CE,2018-11-01,2018-11-30,Q9a
6-9 Times,0,0,0,0,CE,2018-11-01,2018-11-30,Q9a
10+ Times,0,0,0,0,CE,2018-11-01,2018-11-30,Q9a
Total Persons Contacted,4,0,4,0,CE,2018-11-01,2018-11-30,Q9a
Once,6,2,4,0,CE,2018-12-01,2018-12-31,Q9a
2-5 Times,0,0,0,0,CE,2018-12-01,2018-12-31,Q9a
6-9 Times,0,0,0,0,CE,2018-12-01,2018-12-31,Q9a
10+ Times,0,0,0,0,CE,2018-12-01,2018-12-31,Q9a
Total Persons Contacted,6,2,4,0,CE,2018-12-01,2018-12-31,Q9a
Once,11,2,8,0,CE,2019-01-01,2019-01-31,Q9a
2-5 Times,0,0,0,0,CE,2019-01-01,2019-01-31,Q9a
6-9 Times,0,0,0,0,CE,2019-01-01,2019-01-31,Q9a
10+ Times,0,0,0,0,CE,2019-01-01,2019-01-31,Q9a
Total Persons Contacted,11,2,8,0,CE,2019-01-01,2019-01-31,Q9a
Once,10,2,8,0,CE,2019-02-01,2019-02-28,Q9a
2-5 Times,0,0,0,0,CE,2019-02-01,2019-02-28,Q9a
6-9 Times,0,0,0,0,CE,2019-02-01,2019-02-28,Q9a
10+ Times,0,0,0,0,CE,2019-02-01,2019-02-28,Q9a
Total Persons Contacted,10,2,8,0,CE,2019-02-01,2019-02-28,Q9a
Once,11,2,9,0,CE,2019-03-01,2019-03-31,Q9a
2-5 Times,1,0,1,0,CE,2019-03-01,2019-03-31,Q9a
6-9 Times,0,0,0,0,CE,2019-03-01,2019-03-31,Q9a
10+ Times,0,0,0,0,CE,2019-03-01,2019-03-31,Q9a
Total Persons Contacted,12,2,10,0,CE,2019-03-01,2019-03-31,Q9a
Once,29,2,26,0,CE,2019-04-01,2019-04-30,Q9a
2-5 Times,2,0,2,0,CE,2019-04-01,2019-04-30,Q9a
6-9 Times,0,0,0,0,CE,2019-04-01,2019-04-30,Q9a
10+ Times,0,0,0,0,CE,2019-04-01,2019-04-30,Q9a
Total Persons Contacted,31,2,28,0,CE,2019-04-01,2019-04-30,Q9a
Once,33,0,32,0,CE,2019-05-01,2019-05-31,Q9a
2-5 Times,4,0,4,0,CE,2019-05-01,2019-05-31,Q9a
6-9 Times,0,0,0,0,CE,2019-05-01,2019-05-31,Q9a
10+ Times,0,0,0,0,CE,2019-05-01,2019-05-31,Q9a
Total Persons Contacted,37,0,36,0,CE,2019-05-01,2019-05-31,Q9a
Once,30,0,29,0,CE,2019-06-01,2019-06-30,Q9a
2-5 Times,14,0,14,0,CE,2019-06-01,2019-06-30,Q9a
6-9 Times,0,0,0,0,CE,2019-06-01,2019-06-30,Q9a
10+ Times,0,0,0,0,CE,2019-06-01,2019-06-30,Q9a
Total Persons Contacted,44,0,43,0,CE,2019-06-01,2019-06-30,Q9a
Once,26,1,24,0,CE,2019-07-01,2019-07-31,Q9a
2-5 Times,20,0,20,0,CE,2019-07-01,2019-07-31,Q9a
6-9 Times,4,0,4,0,CE,2019-07-01,2019-07-31,Q9a
10+ Times,0,0,0,0,CE,2019-07-01,2019-07-31,Q9a
Total Persons Contacted,50,1,48,0,CE,2019-07-01,2019-07-31,Q9a
Once,8,0,8,0,CE,2019-08-01,2019-08-31,Q9a
2-5 Times,14,1,13,0,CE,2019-08-01,2019-08-31,Q9a
6-9 Times,8,0,8,0,CE,2019-08-01,2019-08-31,Q9a
10+ Times,1,0,1,0,CE,2019-08-01,2019-08-31,Q9a
Total Persons Contacted,31,1,30,0,CE,2019-08-01,2019-08-31,Q9a
Once,11,0,10,0,CE,2019-09-01,2019-09-30,Q9a
2-5 Times,10,1,9,0,CE,2019-09-01,2019-09-30,Q9a
6-9 Times,8,0,8,0,CE,2019-09-01,2019-09-30,Q9a
10+ Times,1,0,1,0,CE,2019-09-01,2019-09-30,Q9a
Total Persons Contacted,30,1,28,0,CE,2019-09-01,2019-09-30,Q9a
Once,15,1,13,0,CE,2019-10-01,2019-10-31,Q9a
2-5 Times,11,1,10,0,CE,2019-10-01,2019-10-31,Q9a
6-9 Times,4,0,4,0,CE,2019-10-01,2019-10-31,Q9a
10+ Times,1,0,1,0,CE,2019-10-01,2019-10-31,Q9a
Total Persons Contacted,31,2,28,0,CE,2019-10-01,2019-10-31,Q9a
Once,9,0,7,0,CE,2019-11-01,2019-11-30,Q9a
2-5 Times,5,1,4,0,CE,2019-11-01,2019-11-30,Q9a
6-9 Times,1,0,1,0,CE,2019-11-01,2019-11-30,Q9a
10+ Times,0,0,0,0,CE,2019-11-01,2019-11-30,Q9a
Total Persons Contacted,15,1,12,0,CE,2019-11-01,2019-11-30,Q9a
Once,6,0,5,0,CE,2019-12-01,2019-12-31,Q9a
2-5 Times,6,0,6,0,CE,2019-12-01,2019-12-31,Q9a
6-9 Times,2,0,2,0,CE,2019-12-01,2019-12-31,Q9a
10+ Times,0,0,0,0,CE,2019-12-01,2019-12-31,Q9a
Total Persons Contacted,14,0,13,0,CE,2019-12-01,2019-12-31,Q9a
Once,7,0,5,0,CE,2020-01-01,2020-01-31,Q9a
2-5 Times,3,0,3,0,CE,2020-01-01,2020-01-31,Q9a
6-9 Times,0,0,0,0,CE,2020-01-01,2020-01-31,Q9a
10+ Times,0,0,0,0,CE,2020-01-01,2020-01-31,Q9a
Total Persons Contacted,10,0,8,0,CE,2020-01-01,2020-01-31,Q9a
Once,8,0,5,0,CE,2020-02-01,2020-02-29,Q9a
2-5 Times,4,0,4,0,CE,2020-02-01,2020-02-29,Q9a
6-9 Times,3,0,3,0,CE,2020-02-01,2020-02-29,Q9a
10+ Times,0,0,0,0,CE,2020-02-01,2020-02-29,Q9a
Total Persons Contacted,15,0,12,0,CE,2020-02-01,2020-02-29,Q9a
Once,8,0,3,0,CE,2020-03-01,2020-03-31,Q9a
2-5 Times,3,0,3,0,CE,2020-03-01,2020-03-31,Q9a
6-9 Times,3,0,3,0,CE,2020-03-01,2020-03-31,Q9a
10+ Times,0,0,0,0,CE,2020-03-01,2020-03-31,Q9a
Total Persons Contacted,14,0,9,0,CE,2020-03-01,2020-03-31,Q9a
Once,8,0,5,0,CE,2020-04-01,2020-04-30,Q9a
2-5 Times,1,0,1,0,CE,2020-04-01,2020-04-30,Q9a
6-9 Times,2,0,2,0,CE,2020-04-01,2020-04-30,Q9a
10+ Times,0,0,0,0,CE,2020-04-01,2020-04-30,Q9a
Total Persons Contacted,11,0,8,0,CE,2020-04-01,2020-04-30,Q9a
Once,9,0,6,0,CE,2020-05-01,2020-05-31,Q9a
2-5 Times,3,0,3,0,CE,2020-05-01,2020-05-31,Q9a
6-9 Times,3,0,3,0,CE,2020-05-01,2020-05-31,Q9a
10+ Times,0,0,0,0,CE,2020-05-01,2020-05-31,Q9a
Total Persons Contacted,15,0,12,0,CE,2020-05-01,2020-05-31,Q9a
Once,15,0,10,0,CE,2020-06-01,2020-06-30,Q9a
2-5 Times,4,0,4,0,CE,2020-06-01,2020-06-30,Q9a
6-9 Times,3,0,3,0,CE,2020-06-01,2020-06-30,Q9a
10+ Times,0,0,0,0,CE,2020-06-01,2020-06-30,Q9a
Total Persons Contacted,22,0,17,0,CE,2020-06-01,2020-06-30,Q9a
Once,19,0,15,0,CE,2020-07-01,2020-07-31,Q9a
2-5 Times,4,0,4,0,CE,2020-07-01,2020-07-31,Q9a
6-9 Times,3,0,3,0,CE,2020-07-01,2020-07-31,Q9a
10+ Times,0,0,0,0,CE,2020-07-01,2020-07-31,Q9a
Total Persons Contacted,26,0,22,0,CE,2020-07-01,2020-07-31,Q9a
Once,13,0,13,0,CE,2020-08-01,2020-08-31,Q9a
2-5 Times,3,0,3,0,CE,2020-08-01,2020-08-31,Q9a
6-9 Times,3,0,3,0,CE,2020-08-01,2020-08-31,Q9a
10+ Times,0,0,0,0,CE,2020-08-01,2020-08-31,Q9a
Total Persons Contacted,19,0,19,0,CE,2020-08-01,2020-08-31,Q9a
Once,14,0,14,0,CE,2020-09-01,2020-09-30,Q9a
2-5 Times,3,0,3,0,CE,2020-09-01,2020-09-30,Q9a
6-9 Times,3,0,3,0,CE,2020-09-01,2020-09-30,Q9a
10+ Times,0,0,0,0,CE,2020-09-01,2020-09-30,Q9a
Total Persons Contacted,20,0,20,0,CE,2020-09-01,2020-09-30,Q9a
Once,22,0,10,0,CE,2020-10-01,2020-10-31,Q9a
2-5 Times,16,0,3,0,CE,2020-10-01,2020-10-31,Q9a
6-9 Times,2,0,2,0,CE,2020-10-01,2020-10-31,Q9a
10+ Times,0,0,0,0,CE,2020-10-01,2020-10-31,Q9a
Total Persons Contacted,40,0,15,0,CE,2020-10-01,2020-10-31,Q9a
Once,25,0,8,0,CE,2020-11-01,2020-11-30,Q9a
2-5 Times,23,0,4,0,CE,2020-11-01,2020-11-30,Q9a
6-9 Times,2,0,2,0,CE,2020-11-01,2020-11-30,Q9a
10+ Times,0,0,0,0,CE,2020-11-01,2020-11-30,Q9a
Total Persons Contacted,50,0,14,0,CE,2020-11-01,2020-11-30,Q9a
Once,24,0,7,0,CE,2020-12-01,2020-12-31,Q9a
2-5 Times,15,0,3,0,CE,2020-12-01,2020-12-31,Q9a
6-9 Times,2,0,2,0,CE,2020-12-01,2020-12-31,Q9a
10+ Times,0,0,0,0,CE,2020-12-01,2020-12-31,Q9a
Total Persons Contacted,41,0,12,0,CE,2020-12-01,2020-12-31,Q9a
Once,33,0,9,0,CE,2021-01-01,2021-01-31,Q9a
2-5 Times,25,0,4,0,CE,2021-01-01,2021-01-31,Q9a
6-9 Times,3,0,3,0,CE,2021-01-01,2021-01-31,Q9a
10+ Times,0,0,0,0,CE,2021-01-01,2021-01-31,Q9a
Total Persons Contacted,61,0,16,0,CE,2021-01-01,2021-01-31,Q9a
Once,32,0,9,0,CE,2021-02-01,2021-02-28,Q9a
2-5 Times,26,0,4,0,CE,2021-02-01,2021-02-28,Q9a
