income_sources_exit,ao_youth_with_disabling_condition,ao_youth_without_disabling_condition,ao_total_youth,ao_percent_with_disabling_condition_by_source,ac_youth_with_disabling_condition,ac_youth_without_disabling_condition,ac_total_youth,ac_percent_with_disabling_condition_by_source,co_youth_with_disabling_condition,co_youth_without_disabling_condition,co_total_youth,co_percent_with_disabling_condition_by_source,uk_youth_with_disabling_condition,uk_youth_without_disabling_condition,uk_total_youth,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
No Sources,3,8,11,0.27,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-01-01,2015-01-31,Q27i
Unduplicated Total Youth,5,11,16,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2015-01-01,2015-01-31,Q27i
Earned Income,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Child Support,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
No Sources,1,2,3,0.33,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-02-01,2015-02-28,Q27i
Unduplicated Total Youth,1,3,4,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2015-02-01,2015-02-28,Q27i
Earned Income,0,4,4,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
No Sources,1,4,5,0.2,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-03-01,2015-03-31,Q27i
Unduplicated Total Youth,2,8,10,NA,0,3,3,NA,0,0,0,NA,0,0,0,NA,youth,2015-03-01,2015-03-31,Q27i
Earned Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
No Sources,2,4,6,0.33,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-04-01,2015-04-30,Q27i
Unduplicated Total Youth,2,4,6,NA,0,1,1,NA,0,0,0,NA,0,0,0,NA,youth,2015-04-01,2015-04-30,Q27i
Earned Income,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
No Sources,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-05-01,2015-05-31,Q27i
Unduplicated Total Youth,1,2,3,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2015-05-01,2015-05-31,Q27i
Earned Income,0,2,2,0,2,1,3,0.67,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Supplemental Security Income (SSI),2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Other source,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
No Sources,2,1,3,0.67,1,2,3,0.33,0,0,0,0,0,0,0,0,youth,2015-06-01,2015-06-30,Q27i
Unduplicated Total Youth,4,3,7,NA,3,3,6,NA,0,0,0,NA,0,0,0,NA,youth,2015-06-01,2015-06-30,Q27i
Earned Income,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Child Support,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
No Sources,2,2,4,0.5,1,0,1,1,0,0,0,0,0,0,0,0,youth,2015-07-01,2015-07-31,Q27i
Unduplicated Total Youth,3,2,5,NA,2,0,2,NA,0,0,0,NA,0,0,0,NA,youth,2015-07-01,2015-07-31,Q27i
Earned Income,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
No Sources,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-08-01,2015-08-31,Q27i
Unduplicated Total Youth,0,2,2,NA,0,1,1,NA,0,0,0,NA,0,0,0,NA,youth,2015-08-01,2015-08-31,Q27i
Earned Income,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
No Sources,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,youth,2015-09-01,2015-09-30,Q27i
Unduplicated Total Youth,0,1,1,NA,0,1,1,NA,0,1,1,NA,0,0,0,NA,youth,2015-09-01,2015-09-30,Q27i
Earned Income,0,4,4,0,0,5,5,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Social Security Disability Insurance (SSDI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
No Sources,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,youth,2015-10-01,2015-10-31,Q27i
Unduplicated Total Youth,1,7,8,NA,1,8,9,NA,0,0,0,NA,0,0,0,NA,youth,2015-10-01,2015-10-31,Q27i
Earned Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Supplemental Security Income (SSI),1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Social Security Disability Insurance (SSDI),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
No Sources,0,1,1,0,1,1,2,0.5,0,0,0,0,0,0,0,0,youth,2015-11-01,2015-11-30,Q27i
Unduplicated Total Youth,1,2,3,NA,1,1,2,NA,0,0,0,NA,0,0,0,NA,youth,2015-11-01,2015-11-30,Q27i
Earned Income,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
No Sources,1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,youth,2015-12-01,2015-12-31,Q27i
Unduplicated Total Youth,2,2,4,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2015-12-01,2015-12-31,Q27i
Earned Income,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
No Sources,0,5,5,0,1,1,2,0.5,0,0,0,0,0,0,0,0,youth,2016-01-01,2016-01-31,Q27i
Unduplicated Total Youth,0,7,7,NA,1,2,3,NA,0,0,0,NA,0,0,0,NA,youth,2016-01-01,2016-01-31,Q27i
Earned Income,1,3,4,0.25,0,3,3,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2016-02-01,2016-02-29,Q27i
