"Organization Name" , "Organization ID" , "Project Name" , "Project ID" , "HMIS Project Type" , "Method for Tracking ES" , "Affiliated with a residential project" , "Project IDs of affiliations" , "CoC Number" , "Geocode" , "Victim Service Provider" , "HMIS Software Name" , "Report Start Date" , "Report End Date"
"Western Virginia CoC - BFZ","1183","Front Royal Presbyterian Church - Parent (closed)",1570,"6",,0,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
,,"Home to Home",1326,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"AIDS Response Effort - Parent","1193","ARE: CLOSED CLOSED HOPWA (OLD)",1202,"6",,0,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: TBRA Rapid Rehousing (Closed)",1389,"13",,,"","VA-513","519171",0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","Front Royal Thermal Shelter  - ES",1807,"1",0,,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","Western SO - Sheltered Hburg, Rham, Shen, Page",1695,"4",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"HRHA Parent","1537","BfZ List",1827,"7",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Blue Ridge Housing Network - Parent","1516","Blue Ridge Housing Network TBRA Front Royal",1517,"7",,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Salvation Army of Harrisonburg","1289","Salvation Army of Harrisonburg - ES",1302,"1",0,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
,,"Response, Inc. PARENT",1704,"1",0,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
,,"VAIL",1324,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Central Intake - Parent","1300","CI - OTHER - NOT HOMELESS Western VA 513",1785,"14",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","zBridge of Hope (closed)",1366,"7",,,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Harrisonburg Rockingham Community Resource Center (closed)","1287","Harrisonburg Rockingham Community Resource Center (closed)",1287,"6",,0,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Western SO - Sheltered Winchester/Frederick","1708","Western SO - Sheltered Winchester/Frederick",1708,"4",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"House of Hope","1189","Front Royal House of Hope ES",1200,"1",0,,"","VA-513","519187",0,"ServicePoint",2018-06-01,2018-06-30
,,"Rockingham County Transportation Program",1319,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"AIDS Response Effort - Parent","1193","ARE HOPWA Case Mgmt",1523,"6",,0,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: In-House Homeless Prevention",1199,"7",,,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Elkton EAUS -Parent","1283","Elkton Area United Services EAUS: program",1298,"6",,0,"","VA-513","519165",0,"ServicePoint",2018-06-01,2018-06-30
"Mercy House Parent","1286","Mercy House CHERP RRH (ESG-CV)",1918,"13",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Family Promise of Shenandoah","1628","Family Promise of Shenandoah- ES",1629,"1",0,,"","VA-513","519171",0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","The Laurel Center HIC Only ES DV",1791,"1",0,,"","VA-513","511674",1,"ServicePoint",2018-06-01,2018-06-30
"HRHA Parent","1537","HRHA Commerce Village PSH Units",1538,"3",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC","1449","Hburg Care Management - STRMU Prevention",1515,"12",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: HPP DHCD (Closed)",1222,"12",,,"","VA-513","519171",0,"ServicePoint",2018-06-01,2018-06-30
"Mercy House Parent","1286","Mercy House Z: HPP (closed)",1292,"12",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Salvation Army of Winchester","1194","Salvation Army of Winchester: ES (HMIS Start 1-23-2021)",1203,"1",0,,"","VA-513","519069",0,"ServicePoint",2018-06-01,2018-06-30
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: TBRA Prevention",1304,"6",,0,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Homeward","2","AIDS Response Effort - Parent",1193,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","Winchester Rescue Mission - TH WOMEN",1796,"2",,,"","VA-513","511674",0,"ServicePoint",2018-06-01,2018-06-30
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: HSG Rapid Rehousing (Closed)",1248,"13",,,"","VA-513","519171",0,"ServicePoint",2018-06-01,2018-06-30
,,"Way To Go",1320,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
,,"AIDS Response CHERP PREVENTION 1-1-21",1988,"12",,,"","VA-513","519171",0,"ServicePoint",2018-06-01,2018-06-30
"Central Intake - Parent","1300","Central Intake - Parent",1300,"6",,0,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","Western SO - Unsheltered Hburg, Rham, Shen, Page",1686,"4",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
,,"Community Services Board",1325,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
,,"Harrisonburg & Rockingham Free Clinic (closed)",1318,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","House of Hope",1189,"7",,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Winchester Rescue Mission - PARENT","1563","Winchester Rescue Mission Men's Shelter CHERP",1565,"1",0,,"","VA-513","511674",0,"ServicePoint",2018-06-01,2018-06-30
"Strength in Peers  PARENT","1531","Strength in Peers Offender Reentry Program(closed)",1536,"6",,0,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Homeward","2","Faithworks",1284,"9",,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Winchester Rescue Mission - PARENT","1563","Winchester Rescue Mission Women's Shelter CHERP",1795,"1",0,,"","VA-513","511674",0,"ServicePoint",2018-06-01,2018-06-30
"Mercy House Parent","1286","Mercy House: Prevention ESG CV 1-21",1999,"12",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"WATTS - Parent","1399","WATTS Thermal Shelter ES (NbyN) (closed 03/31/21)",1794,"1",3,,"","VA-513","511674",0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","First Step RRH HIC ONLY",1790,"13",,,"","VA-513","510726",1,"ServicePoint",2018-06-01,2018-06-30
"Homeward","2","Watts Thermal Shelter",1400,"1",0,,"",,,0,"ServicePoint",
